action,argmax_correct,choice,choice_is_argmax,confidence,correct,id,input_tokens,kind,latency_ms,output_tokens,regret,safe,split,state_id,valid,variant
straight,True,straight,True,0.24,True,development-030-compact,512,ablation,535.46,38,0,True,development,development-030,True,compact
right,True,right,True,1.0,True,holdout-036-exact,569,ablation,511.26,38,0,True,holdout,holdout-036,True,exact
straight,False,straight,True,0.3,False,development-009-order-1-0,586,order,522.63,38,2,True,development,development-009,True,original
,False,yes,True,0.34,False,development-022-progress-left,461,atomic,505.36,31,,,development,development-022,True,progress
straight,True,straight,True,0.37,True,development-000-order-1-0,625,order,425.25,38,0,True,development,development-000,True,original
,True,yes,True,0.41,True,development-021-safe-straight,475,atomic,330.71,31,,,development,development-021,True,safe
straight,True,straight,True,0.44,True,development-006-order-5-0,609,order,297.8,38,0,True,development,development-006,True,original
straight,True,straight,True,0.52,True,development-002-order-4-1,606,order,422.48,38,0,True,development,development-002,True,original
straight,True,west,True,0.7,True,holdout-020-absolute,508,ablation,356.18,38,0,True,holdout,holdout-020,True,absolute
straight,True,straight,True,0.46,True,development-039-original,607,ablation,337.31,38,0,True,development,development-039,True,original
straight,False,straight,True,0.16,False,development-005-order-1-1,606,order,310.14,38,2,True,development,development-005,True,original
straight,False,straight,True,0.31,False,development-005-order-0-0,606,order,271.96,38,2,True,development,development-005,True,original
straight,True,straight,True,0.23,True,holdout-008-compact,510,ablation,282.25,38,0,True,holdout,holdout-008,True,compact
straight,True,north,True,0.33,True,development-028-absolute,510,ablation,348.18,38,0,True,development,development-028,True,absolute
right,True,right,True,0.99,True,development-013-local,619,ablation,346.95,38,0,True,development,development-013,True,local
straight,True,west,True,0.73,True,development-057-absolute,486,ablation,282.76,38,0,True,development,development-057,True,absolute
right,True,right,True,0.98,True,development-005-exact,580,ablation,327.21,38,0,True,development,development-005,True,exact
straight,True,straight,True,0.55,True,development-028-local,615,ablation,332.83,38,0,True,development,development-028,True,local
straight,True,straight,True,1.0,True,development-002-exact,580,ablation,315.08,38,0,True,development,development-002,True,exact
right,True,right,True,0.99,True,development-032-exact,586,ablation,301.6,38,0,True,development,development-032,True,exact
straight,True,straight,True,1.0,True,holdout-006-exact,610,ablation,362.06,38,0,True,holdout,holdout-006,True,exact
left,True,left,True,0.79,True,development-009-local,585,ablation,429.42,38,0,True,development,development-009,True,local
,True,yes,True,0.45,True,development-029-progress-right,473,atomic,376.38,31,,,development,development-029,True,progress
straight,True,straight,True,0.87,True,development-040-exact,565,ablation,332.88,38,0,True,development,development-040,True,exact
,True,yes,True,0.13,True,development-026-progress-right,479,atomic,357.41,31,,,development,development-026,True,progress
straight,False,straight,True,0.2,False,development-017-compact,486,ablation,353.05,38,2,True,development,development-017,True,compact
straight,False,straight,True,0.21,False,development-053-compact,481,ablation,321.57,38,2,True,development,development-053,True,compact
straight,False,straight,True,0.37,False,holdout-045-compact,487,ablation,427.26,38,2,True,holdout,holdout-045,True,compact
straight,True,straight,True,1.0,True,holdout-011-exact,586,ablation,385.71,38,0,True,holdout,holdout-011,True,exact
straight,True,straight,True,0.66,True,holdout-017-original,617,ablation,362.29,38,0,True,holdout,holdout-017,True,original
,False,yes,True,0.34,False,development-000-progress-straight,491,atomic,336.08,31,,,development,development-000,True,progress
,True,no,True,0.87,True,development-020-safe-left,467,atomic,370.02,31,,,development,development-020,True,safe
straight,True,straight,True,0.19,True,holdout-038-local,586,ablation,518.91,38,0,True,holdout,holdout-038,True,local
right,True,right,True,0.63,True,holdout-033-local,592,ablation,317.04,38,0,True,holdout,holdout-033,True,local
right,True,right,True,1.0,True,holdout-045-exact,569,ablation,431.09,38,0,True,holdout,holdout-045,True,exact
,True,yes,True,0.73,True,development-027-progress-right,479,atomic,368.27,31,,,development,development-027,True,progress
straight,True,north,True,0.36,True,development-036-absolute,486,ablation,329.29,38,0,True,development,development-036,True,absolute
,True,no,True,0.29,True,development-022-progress-right,461,atomic,275.77,31,,,development,development-022,True,progress
straight,False,straight,True,0.24,False,development-009-order-2-0,586,order,333.87,38,2,True,development,development-009,True,original
straight,True,straight,True,0.74,True,development-036-local,591,ablation,416.6,38,0,True,development,development-036,True,local
straight,True,straight,True,0.42,True,development-020-compact,506,ablation,343.96,38,0,True,development,development-020,True,compact
left,True,left,True,0.79,True,holdout-053-exact,562,ablation,311.66,38,0,True,holdout,holdout-053,True,exact
straight,True,straight,True,0.33,True,development-000-order-0-0,625,order,295.53,38,0,True,development,development-000,True,original
straight,True,straight,True,0.21,True,holdout-043-original,593,ablation,297.15,38,0,True,holdout,holdout-043,True,original
straight,False,straight,True,0.25,False,development-005-order-1-0,606,order,314.69,38,2,True,development,development-005,True,original
straight,True,straight,True,0.82,True,holdout-006-local,633,ablation,320.05,38,0,True,holdout,holdout-006,True,local
straight,True,straight,True,0.44,True,development-026-local,609,ablation,328.03,38,0,True,development,development-026,True,local
straight,True,straight,True,0.53,True,holdout-008-original,617,ablation,321.27,38,0,True,holdout,holdout-008,True,original
left,True,left,True,1.0,True,development-009-exact,562,ablation,287.91,38,0,True,development,development-009,True,exact
right,True,right,True,0.47,True,development-032-compact,504,ablation,928.88,38,0,True,development,development-032,True,compact
