id,variant,stage,valid,latency_ms,input_tokens,output_tokens,choice,http_status,error
dev-071-original,original,proposal,True,378.39,593,38,left,200,
dev-018-ascii,ascii,proposal,True,396.14,688,38,straight,200,
dev-043-egocentric,egocentric,proposal,True,424.25,603,38,left,200,
dev-062-history,history,proposal,True,416.33,1212,38,straight,200,
dev-029-review,review,proposal,True,272.96,583,38,straight,200,
dev-029-review,review,review,True,387.28,640,38,straight,200,
dev-049-history,history,proposal,True,370.45,1116,38,straight,200,
dev-010-original,original,proposal,True,346.77,611,38,straight,200,
dev-012-priority,priority,proposal,True,340.59,569,38,straight,200,
dev-030-narrative,narrative,proposal,True,300.78,554,38,straight,200,
dev-067-narrative,narrative,proposal,True,276.76,566,38,straight,200,
dev-069-egocentric,egocentric,proposal,True,311.99,623,38,right,200,
dev-022-priority,priority,proposal,True,291.6,573,38,straight,200,
dev-048-original,original,proposal,True,479.23,590,38,straight,200,
dev-063-absolute,absolute,proposal,True,316.6,568,38,straight,200,
dev-079-original,original,proposal,True,348.46,610,38,straight,200,
dev-076-ascii,ascii,proposal,True,361.98,719,38,left,200,
dev-003-ascii,ascii,proposal,True,290.84,711,38,right,200,
dev-078-priority,priority,proposal,True,277.32,595,38,straight,200,
dev-072-review,review,proposal,True,292.39,578,38,straight,200,
dev-072-review,review,review,True,315.45,635,38,straight,200,
dev-050-narrative,narrative,proposal,True,370.47,548,38,straight,200,
dev-014-absolute,absolute,proposal,True,1188.67,567,38,straight,200,
dev-016-priority,priority,proposal,True,318.18,603,38,straight,200,
dev-006-ascii,ascii,proposal,True,315.46,710,38,straight,200,
dev-049-review,review,proposal,True,294.2,574,38,straight,200,
dev-049-review,review,review,True,274.58,631,38,straight,200,
dev-043-original,original,proposal,True,375.63,589,38,straight,200,
dev-075-priority,priority,proposal,True,325.45,572,38,straight,200,
dev-052-priority,priority,proposal,True,354.05,574,38,straight,200,
dev-032-absolute,absolute,proposal,True,297.15,575,38,straight,200,
dev-073-ascii,ascii,proposal,True,343.85,684,38,straight,200,
dev-073-history,history,proposal,True,387.78,1096,38,straight,200,
dev-077-ascii,ascii,proposal,True,329.61,695,38,straight,200,
dev-022-review,review,proposal,True,359.37,573,38,straight,200,
dev-022-review,review,review,True,370.2,630,38,straight,200,
dev-037-review,review,proposal,True,378.86,579,38,straight,200,
dev-037-review,review,review,True,300.72,636,38,straight,200,
dev-054-ascii,ascii,proposal,True,347.0,712,38,straight,200,
dev-046-review,review,proposal,True,350.53,573,38,straight,200,
dev-046-review,review,review,True,314.43,630,38,straight,200,
dev-074-original,original,proposal,True,350.62,593,38,straight,200,
dev-052-original,original,proposal,True,292.65,596,38,straight,200,
dev-032-narrative,narrative,proposal,True,298.65,546,38,straight,200,
dev-012-narrative,narrative,proposal,True,324.4,541,38,straight,200,
dev-008-history,history,proposal,True,386.76,1251,38,straight,200,
dev-070-narrative,narrative,proposal,True,246.87,549,38,straight,200,
dev-013-history,history,proposal,True,449.41,1175,38,straight,200,
dev-062-original,original,proposal,True,400.47,612,38,straight,200,
dev-022-original,original,proposal,True,320.91,595,38,straight,200,
dev-037-absolute,absolute,proposal,True,360.41,579,38,straight,200,
dev-052-absolute,absolute,proposal,True,280.0,574,38,straight,200,
dev-047-history,history,proposal,True,258.9,1133,38,straight,200,
dev-032-priority,priority,proposal,True,264.58,575,38,straight,200,
dev-006-narrative,narrative,proposal,True,310.21,562,38,straight,200,
dev-044-egocentric,egocentric,proposal,True,278.69,602,38,left,200,
dev-075-ascii,ascii,proposal,True,348.08,689,38,straight,200,
dev-009-narrative,narrative,proposal,True,338.25,546,38,straight,200,
dev-034-narrative,narrative,proposal,True,336.9,540,38,straight,200,
dev-052-review,review,proposal,True,278.78,574,38,straight,200,
dev-052-review,review,review,True,357.61,631,38,straight,200,
dev-024-original,original,proposal,True,321.88,595,38,straight,200,
dev-036-egocentric,egocentric,proposal,True,297.15,619,38,straight,200,
dev-036-priority,priority,proposal,True,365.32,589,38,straight,200,
dev-050-original,original,proposal,True,278.51,600,38,straight,200,
dev-009-priority,priority,proposal,True,292.37,575,38,straight,200,
dev-072-history,history,proposal,True,372.93,1137,38,straight,200,
dev-043-review,review,proposal,True,336.81,567,38,straight,200,
dev-043-review,review,review,True,305.57,624,38,straight,200,
dev-050-ascii,ascii,proposal,True,347.54,701,38,straight,200,
dev-046-egocentric,egocentric,proposal,True,376.69,610,38,left,200,
dev-020-priority,priority,proposal,True,311.6,572,38,right,200,
dev-060-history,history,proposal,True,419.0,1094,38,straight,200,
dev-003-review,review,proposal,True,397.04,594,38,right,200,
dev-003-review,review,review,True,317.56,651,38,right,200,
dev-037-original,original,proposal,True,344.38,601,38,straight,200,
dev-058-priority,priority,proposal,True,492.6,571,38,straight,200,
dev-077-absolute,absolute,proposal,True,289.57,578,38,straight,200,
dev-007-priority,priority,proposal,True,307.42,585,38,left,200,
dev-023-priority,priority,proposal,True,283.61,585,38,right,200,
dev-028-narrative,narrative,proposal,True,320.55,540,38,straight,200,
dev-046-ascii,ascii,proposal,True,327.58,690,38,straight,200,
dev-036-history,history,proposal,True,304.12,1170,38,straight,200,
dev-006-priority,priority,proposal,True,318.28,593,38,right,200,
dev-027-ascii,ascii,proposal,True,294.79,690,38,straight,200,
dev-000-priority,priority,proposal,True,380.62,574,38,straight,200,
dev-062-narrative,narrative,proposal,True,346.54,558,38,right,200,
dev-058-original,original,proposal,True,336.44,592,38,straight,200,
dev-001-narrative,narrative,proposal,True,344.0,538,38,left,200,
dev-066-original,original,proposal,True,284.56,605,38,straight,200,
dev-007-ascii,ascii,proposal,True,282.33,706,38,straight,200,
dev-056-history,history,proposal,True,265.75,1097,38,straight,200,
dev-042-narrative,narrative,proposal,True,323.76,539,38,straight,200,
dev-012-review,review,proposal,True,335.84,569,38,straight,200,
dev-012-review,review,review,True,276.1,626,38,straight,200,
dev-006-review,review,proposal,True,319.64,593,38,straight,200,
dev-006-review,review,review,True,954.85,650,38,right,200,
dev-008-review,review,proposal,True,337.8,601,38,straight,200,
dev-008-review,review,review,True,287.12,658,38,straight,200,
dev-015-egocentric,egocentric,proposal,True,316.58,629,38,right,200,
dev-053-history,history,proposal,True,395.9,1102,38,straight,200,
dev-066-history,history,proposal,True,322.3,1181,38,straight,200,
dev-033-priority,priority,proposal,True,336.92,594,38,right,200,
dev-072-narrative,narrative,proposal,True,352.38,548,38,straight,200,
dev-015-ascii,ascii,proposal,True,333.03,716,38,right,200,
dev-005-priority,priority,proposal,True,327.48,584,38,straight,200,
dev-044-narrative,narrative,proposal,True,307.84,539,38,straight,200,
dev-066-review,review,proposal,True,287.26,583,38,straight,200,
dev-066-review,review,review,True,310.06,640,38,straight,200,
dev-073-review,review,proposal,True,345.14,567,38,straight,200,
dev-073-review,review,review,True,695.98,624,38,straight,200,
dev-048-egocentric,egocentric,proposal,True,293.87,602,38,straight,200,
dev-074-history,history,proposal,True,308.13,1098,38,straight,200,
dev-010-absolute,absolute,proposal,True,408.34,589,38,right,200,
dev-059-egocentric,egocentric,proposal,True,319.94,629,38,straight,200,
dev-064-review,review,proposal,True,348.5,607,38,straight,200,
dev-064-review,review,review,True,326.13,664,38,straight,200,
dev-014-priority,priority,proposal,True,314.92,567,38,straight,200,
dev-018-absolute,absolute,proposal,True,366.25,572,38,straight,200,
dev-065-ascii,ascii,proposal,True,296.95,729,38,straight,200,
dev-030-priority,priority,proposal,True,291.19,585,38,straight,200,
dev-053-egocentric,egocentric,proposal,True,330.0,601,38,straight,200,
dev-031-history,history,proposal,True,282.87,1092,38,straight,200,
dev-061-narrative,narrative,proposal,True,438.07,559,38,straight,200,
dev-030-ascii,ascii,proposal,True,381.89,702,38,straight,200,
dev-042-review,review,proposal,True,287.36,567,38,straight,200,
dev-042-review,review,review,True,266.77,624,38,straight,200,
dev-013-ascii,ascii,proposal,True,346.52,706,38,straight,200,
dev-003-absolute,absolute,proposal,True,352.1,594,38,right,200,
dev-025-egocentric,egocentric,proposal,True,303.23,604,38,left,200,
dev-023-ascii,ascii,proposal,True,362.41,702,38,right,200,
dev-037-priority,priority,proposal,True,366.85,579,38,straight,200,
dev-078-review,review,proposal,True,263.34,595,38,straight,200,
dev-078-review,review,review,True,333.26,652,38,straight,200,
dev-059-priority,priority,proposal,True,463.81,591,38,straight,200,
dev-079-priority,priority,proposal,True,306.05,588,38,straight,200,
dev-049-egocentric,egocentric,proposal,True,360.07,602,38,straight,200,
dev-024-egocentric,egocentric,proposal,True,265.92,609,38,left,200,
dev-005-review,review,proposal,True,273.43,584,38,straight,200,
dev-005-review,review,review,True,314.51,641,38,straight,200,
dev-060-ascii,ascii,proposal,True,397.24,685,38,straight,200,
dev-053-ascii,ascii,proposal,True,293.78,684,38,straight,200,
dev-075-egocentric,egocentric,proposal,True,340.66,609,38,left,200,
dev-051-narrative,narrative,proposal,True,331.79,558,38,right,200,
dev-015-history,history,proposal,True,291.16,1218,38,right,200,
dev-040-review,review,proposal,True,292.73,567,38,straight,200,
dev-040-review,review,review,True,386.52,624,38,straight,200,
dev-072-priority,priority,proposal,True,288.42,578,38,straight,200,
dev-008-ascii,ascii,proposal,True,384.91,720,38,straight,200,
dev-036-absolute,absolute,proposal,True,323.12,589,38,straight,200,
dev-007-original,original,proposal,True,314.71,607,38,straight,200,
dev-004-history,history,proposal,True,393.16,1251,38,straight,200,
dev-045-narrative,narrative,proposal,True,283.56,568,38,straight,200,
dev-077-history,history,proposal,True,249.62,1131,38,straight,200,
dev-036-review,review,proposal,True,336.62,589,38,straight,200,
dev-036-review,review,review,True,284.85,646,38,straight,200,
dev-067-priority,priority,proposal,True,319.52,597,38,straight,200,
dev-067-original,original,proposal,True,313.8,619,38,straight,200,
dev-021-absolute,absolute,proposal,True,341.95,591,38,straight,200,
dev-021-narrative,narrative,proposal,True,316.7,559,38,straight,200,
dev-028-review,review,proposal,True,293.57,568,38,straight,200,
dev-028-review,review,review,True,321.46,625,38,straight,200,
dev-013-priority,priority,proposal,True,335.54,586,38,straight,200,
dev-028-absolute,absolute,proposal,True,313.78,568,38,straight,200,
dev-001-absolute,absolute,proposal,True,295.76,566,38,left,200,
dev-028-original,original,proposal,True,773.73,590,38,straight,200,
dev-033-ascii,ascii,proposal,True,286.92,712,38,right,200,
dev-026-absolute,absolute,proposal,True,265.12,591,38,straight,200,
dev-013-absolute,absolute,proposal,True,340.84,586,38,straight,200,
dev-017-absolute,absolute,proposal,True,355.99,586,38,straight,200,
dev-032-ascii,ascii,proposal,True,342.71,692,38,straight,200,
dev-020-original,original,proposal,True,272.59,593,38,right,200,
dev-002-review,review,proposal,True,264.29,603,38,straight,200,
dev-002-review,review,review,True,282.93,660,38,straight,200,
dev-066-ascii,ascii,proposal,True,388.02,703,38,straight,200,
dev-031-egocentric,egocentric,proposal,True,391.47,601,38,right,200,
dev-055-review,review,proposal,True,315.67,579,38,straight,200,
dev-055-review,review,review,True,321.17,636,38,straight,200,
dev-046-absolute,absolute,proposal,True,295.17,573,38,straight,200,
dev-040-original,original,proposal,True,313.4,589,38,straight,200,
dev-002-original,original,proposal,True,302.36,626,38,straight,200,
dev-070-ascii,ascii,proposal,True,275.53,696,38,straight,200,
dev-029-history,history,proposal,True,308.21,1161,38,straight,200,
dev-003-history,history,proposal,True,327.06,1221,38,right,200,
dev-002-narrative,narrative,proposal,True,302.83,569,38,straight,200,
dev-065-egocentric,egocentric,proposal,True,271.49,629,38,straight,200,
dev-058-narrative,narrative,proposal,True,339.23,543,38,straight,200,
dev-050-priority,priority,proposal,True,395.56,578,38,straight,200,
dev-011-narrative,narrative,proposal,True,280.24,539,38,straight,200,
dev-021-ascii,ascii,proposal,True,345.03,712,38,straight,200,
dev-040-history,history,proposal,True,400.21,1097,38,straight,200,
dev-055-original,original,proposal,True,303.28,601,38,right,200,
dev-068-absolute,absolute,proposal,True,357.5,609,38,straight,200,
dev-071-ascii,ascii,proposal,True,398.69,691,38,left,200,
dev-017-egocentric,egocentric,proposal,True,413.64,623,38,left,200,
dev-076-absolute,absolute,proposal,True,288.87,596,38,left,200,
dev-071-absolute,absolute,proposal,True,255.83,572,38,left,200,
dev-067-history,history,proposal,True,323.18,1222,38,straight,200,
dev-005-history,history,proposal,True,440.47,1185,38,straight,200,
dev-041-review,review,proposal,True,416.29,586,38,straight,200,
dev-041-review,review,review,True,369.55,643,38,straight,200,
dev-047-absolute,absolute,proposal,True,423.68,579,38,straight,200,
dev-060-narrative,narrative,proposal,True,286.49,540,38,straight,200,
dev-035-absolute,absolute,proposal,True,338.45,585,38,straight,200,
dev-055-narrative,narrative,proposal,True,389.28,549,38,right,200,
dev-066-egocentric,egocentric,proposal,True,308.6,618,38,straight,200,
dev-045-egocentric,egocentric,proposal,True,336.57,629,38,straight,200,
dev-032-egocentric,egocentric,proposal,True,290.79,608,38,left,200,
dev-042-history,history,proposal,True,313.76,1097,38,straight,200,
dev-019-priority,priority,proposal,True,406.99,566,38,left,200,
dev-054-priority,priority,proposal,True,433.67,590,38,straight,200,
dev-047-priority,priority,proposal,True,332.01,579,38,straight,200,
dev-026-ascii,ascii,proposal,True,299.97,713,38,straight,200,
dev-000-ascii,ascii,proposal,True,292.2,695,38,straight,200,
dev-000-review,review,proposal,True,355.92,574,38,straight,200,
dev-000-review,review,review,True,324.18,631,38,straight,200,
dev-016-original,original,proposal,True,334.08,626,38,straight,200,
dev-029-egocentric,egocentric,proposal,True,348.44,618,38,left,200,
dev-027-absolute,absolute,proposal,True,325.27,573,38,straight,200,
dev-079-ascii,ascii,proposal,True,310.12,711,38,straight,200,
dev-033-review,review,proposal,True,302.86,594,38,right,200,
dev-033-review,review,review,True,374.8,651,38,right,200,
dev-065-original,original,proposal,True,280.01,624,38,straight,200,
dev-054-absolute,absolute,proposal,True,387.71,590,38,straight,200,
dev-034-absolute,absolute,proposal,True,342.2,568,38,straight,200,
dev-030-egocentric,egocentric,proposal,True,371.77,628,38,straight,200,
dev-009-review,review,proposal,True,381.25,575,38,straight,200,
dev-009-review,review,review,True,339.95,632,38,straight,200,
dev-060-priority,priority,proposal,True,349.58,568,38,straight,200,
dev-037-ascii,ascii,proposal,True,303.62,700,38,straight,200,
dev-006-absolute,absolute,proposal,True,302.08,593,38,right,200,
dev-048-ascii,ascii,proposal,True,281.46,685,38,straight,200,
dev-015-review,review,proposal,True,318.46,590,38,right,200,
dev-015-review,review,review,True,343.58,647,38,right,200,
dev-035-narrative,narrative,proposal,True,303.3,555,38,straight,200,
dev-067-review,review,proposal,True,281.71,597,38,straight,200,
dev-067-review,review,review,True,320.83,654,38,straight,200,
dev-074-priority,priority,proposal,True,356.19,572,38,straight,200,
dev-074-egocentric,egocentric,proposal,True,419.13,608,38,right,200,
dev-059-ascii,ascii,proposal,True,383.02,715,38,straight,200,
dev-021-priority,priority,proposal,True,368.33,591,38,straight,200,
dev-010-review,review,proposal,True,296.06,589,38,right,200,
dev-010-review,review,review,True,537.16,646,38,right,200,
dev-033-history,history,proposal,True,355.15,1223,38,straight,200,
dev-013-review,review,proposal,True,322.32,586,38,straight,200,
dev-013-review,review,review,True,327.46,643,38,straight,200,
dev-056-egocentric,egocentric,proposal,True,334.55,603,38,left,200,
dev-015-priority,priority,proposal,True,332.06,590,38,right,200,
dev-053-review,review,proposal,True,357.19,568,38,straight,200,
dev-053-review,review,review,True,356.7,625,38,straight,200,
dev-068-original,original,proposal,True,309.7,632,38,straight,200,
dev-021-review,review,proposal,True,339.59,591,38,straight,200,
dev-021-review,review,review,True,294.18,648,38,straight,200,
dev-052-ascii,ascii,proposal,True,289.07,695,38,straight,200,
dev-056-original,original,proposal,True,411.19,589,38,straight,200,
dev-038-egocentric,egocentric,proposal,True,338.93,631,38,left,200,
dev-061-review,review,proposal,True,344.65,590,38,straight,200,
dev-061-review,review,review,True,368.94,647,38,straight,200,
