case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
retrieval-128-start-2-explicit,retrieval,1,answer,C022,C022,True,1.0,1.0,1.0,0.0
retrieval-512-start-1-explicit,retrieval,2,answer,C011,C011,True,1.0,1.0,1.0,0.0
retrieval-16-end-2-plain,retrieval,3,answer,C577,C577,True,1.0,1.0,1.0,0.0
decimal-2-plain,decimal,4,answer,second,second,True,0.99,0.99,0.99,0.0002000000000000002
arithmetic-5-False-reversed,arithmetic,5,answer,167,167,True,1.0,1.0,1.0,0.0
retrieval-128-middle-0-reversed,retrieval,6,answer,C374,C374,True,1.0,1.0,1.0,0.0
decimal-1-reversed,decimal,7,answer,first,first,True,1.0,1.0,1.0,0.0
object_tracking-3-plain,object_tracking,8,answer,office,office,True,1.0,1.0,1.0,0.0
decimal-2-plain,decimal,9,answer,second,second,True,0.99,0.99,0.99,0.0002000000000000002
evidence-5-reversed,evidence,10,answer,no,no,True,1.0,1.0,1.0,0.0
conditional-2-plain,conditional,11,answer,yes,yes,True,1.0,1.0,1.0,0.0
retrieval-512-start-2-plain,retrieval,12,answer,C022,C022,True,1.0,1.0,1.0,0.0
retrieval-16-middle-1-plain,retrieval,13,answer,C307,C307,True,1.0,1.0,1.0,0.0
ordering-1-reversed,ordering,14,answer,Ben,Ben,True,1.0,1.0,1.0,0.0
negation-0-reversed,negation,15,answer,no,no,True,1.0,1.0,1.0,0.0
ordering-2-plain,ordering,16,answer,Ben,Ben,True,1.0,1.0,1.0,0.0
decimal-5-explicit,decimal,17,answer,equal,equal,True,0.98,0.98,0.98,0.0006000000000000007
object_tracking-5-reversed,object_tracking,18,answer,garden,garden,True,1.0,1.0,1.0,0.0
decimal-5-plain,decimal,19,answer,equal,equal,True,1.0,1.0,1.0,0.0
retrieval-512-middle-1-plain,retrieval,20,answer,C510,C510,True,1.0,1.0,1.0,0.0
retrieval-16-end-2-explicit,retrieval,21,answer,C577,C577,True,1.0,1.0,1.0,0.0
quantifiers-2-plain,quantifiers,22,answer,cannot_be_determined,cannot_be_determined,True,1.0,1.0,1.0,0.0
object_tracking-4-explicit,object_tracking,23,answer,hall,hall,True,1.0,1.0,1.0,0.0
retrieval-16-start-0-explicit,retrieval,24,answer,C000,C000,True,1.0,1.0,1.0,0.0
object_tracking-0-reversed,object_tracking,25,answer,kitchen,kitchen,True,1.0,1.0,1.0,0.0
ordering-0-plain,ordering,26,answer,Davi,Davi,True,1.0,1.0,1.0,0.0
retrieval-16-start-0-plain,retrieval,27,answer,C000,C000,True,1.0,1.0,1.0,0.0
prerequisite-3-True-plain,prerequisite,28,answer,no,no,True,1.0,1.0,1.0,0.0
retrieval-512-end-1-explicit,retrieval,29,answer,C972,C972,True,1.0,1.0,1.0,0.0
conditional-4-explicit,conditional,30,answer,no,no,True,0.99,1.0,1.0,0.0
prerequisite-2-False-plain,prerequisite,31,answer,yes,yes,True,1.0,1.0,1.0,0.0
