episode,level,controller,seed,move,action,input_tokens,output_tokens,latency_ms
open-jev_guarded-103,open,jev_guarded,103,1,straight,588,38,437.56
open-jev_guarded-103,open,jev_guarded,103,2,straight,588,38,272.87
open-jev_guarded-103,open,jev_guarded,103,3,straight,588,38,341.87
open-jev_guarded-103,open,jev_guarded,103,4,straight,588,38,351.0
open-jev_guarded-103,open,jev_guarded,103,5,straight,588,38,348.32
open-jev_guarded-103,open,jev_guarded,103,6,straight,588,38,382.65
open-jev_guarded-103,open,jev_guarded,103,7,right,589,38,633.92
open-jev_guarded-103,open,jev_guarded,103,8,straight,589,38,450.08
open-jev_guarded-103,open,jev_guarded,103,9,straight,589,38,510.1
open-jev_guarded-103,open,jev_guarded,103,10,straight,590,38,502.35
open-jev_guarded-103,open,jev_guarded,103,11,straight,595,38,507.83
open-jev_guarded-103,open,jev_guarded,103,12,right,595,38,353.13
open-jev_guarded-103,open,jev_guarded,103,13,straight,595,38,437.14
open-jev_guarded-103,open,jev_guarded,103,14,straight,595,38,347.57
open-jev_guarded-103,open,jev_guarded,103,15,straight,595,38,698.58
open-jev_guarded-103,open,jev_guarded,103,16,straight,595,38,383.07
open-jev_guarded-103,open,jev_guarded,103,17,straight,595,38,395.21
open-jev_guarded-103,open,jev_guarded,103,18,straight,595,38,334.55
open-jev_guarded-103,open,jev_guarded,103,19,straight,595,38,382.67
open-jev_guarded-103,open,jev_guarded,103,20,straight,595,38,305.94
open-jev_guarded-103,open,jev_guarded,103,21,straight,601,38,353.88
open-jev_guarded-103,open,jev_guarded,103,22,straight,604,38,355.93
open-jev_guarded-103,open,jev_guarded,103,23,straight,604,38,319.57
open-jev_guarded-103,open,jev_guarded,103,24,straight,602,38,534.67
open-jev_guarded-103,open,jev_guarded,103,25,straight,602,38,392.44
open-jev_guarded-103,open,jev_guarded,103,26,straight,601,38,296.14
open-jev_guarded-103,open,jev_guarded,103,27,straight,600,38,390.16
open-jev_guarded-103,open,jev_guarded,103,28,right,600,38,317.11
open-jev_guarded-103,open,jev_guarded,103,29,straight,600,38,362.29
open-jev_guarded-103,open,jev_guarded,103,30,straight,597,38,346.94
open-jev_guarded-103,open,jev_guarded,103,31,straight,597,38,325.46
open-jev_guarded-103,open,jev_guarded,103,32,straight,602,38,299.63
open-jev_guarded-103,open,jev_guarded,103,33,straight,601,38,284.82
open-jev_guarded-103,open,jev_guarded,103,34,straight,600,38,324.11
open-jev_guarded-103,open,jev_guarded,103,35,straight,600,38,289.05
open-jev_guarded-103,open,jev_guarded,103,36,straight,600,38,317.85
open-jev_guarded-103,open,jev_guarded,103,37,straight,600,38,374.41
open-jev_guarded-103,open,jev_guarded,103,38,straight,600,38,298.42
open-jev_guarded-103,open,jev_guarded,103,39,straight,601,38,341.14
open-jev_guarded-103,open,jev_guarded,103,40,right,604,38,297.11
open-jev_guarded-103,open,jev_guarded,103,41,straight,604,38,336.68
open-jev_guarded-103,open,jev_guarded,103,42,straight,606,38,341.9
open-jev_guarded-103,open,jev_guarded,103,43,left,607,38,311.73
open-jev_guarded-103,open,jev_guarded,103,44,straight,608,38,311.51
open-jev_guarded-103,open,jev_guarded,103,45,straight,605,38,348.28
open-jev_guarded-103,open,jev_guarded,103,46,straight,604,38,307.84
open-jev_guarded-103,open,jev_guarded,103,47,straight,609,38,276.57
open-jev_guarded-103,open,jev_guarded,103,48,straight,608,38,299.42
open-jev_guarded-103,open,jev_guarded,103,49,straight,607,38,299.69
open-jev_guarded-103,open,jev_guarded,103,50,straight,606,38,306.97
