id,group,factors,requests,correct,accuracy,question_count,mean_target_probability,mean_confidence,input_tokens,output_tokens,latency_ms,selections
conditional_truth-0-0-plain,conditional_truth,"{""item"": ""0-0"", ""mode"": ""plain"", ""template"": 0, ""observed"": ""p"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,394,42,278.61,"{""answer"": {""no"": 3}}"
conditional_truth-0-0-reversed,conditional_truth,"{""item"": ""0-0"", ""mode"": ""reversed"", ""template"": 0, ""observed"": ""p"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,394,42,309.53,"{""answer"": {""no"": 3}}"
conditional_truth-0-0-explicit,conditional_truth,"{""item"": ""0-0"", ""mode"": ""explicit"", ""template"": 0, ""observed"": ""p"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,419,42,306.48,"{""answer"": {""no"": 3}}"
conditional_truth-0-1-plain,conditional_truth,"{""item"": ""0-1"", ""mode"": ""plain"", ""template"": 0, ""observed"": ""p"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,394,46,291.38,"{""answer"": {""cannot_be_determined"": 3}}"
conditional_truth-0-1-reversed,conditional_truth,"{""item"": ""0-1"", ""mode"": ""reversed"", ""template"": 0, ""observed"": ""p"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,394,46,286.11,"{""answer"": {""cannot_be_determined"": 3}}"
conditional_truth-0-1-explicit,conditional_truth,"{""item"": ""0-1"", ""mode"": ""explicit"", ""template"": 0, ""observed"": ""p"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,419,46,296.2,"{""answer"": {""cannot_be_determined"": 3}}"
conditional_truth-0-2-plain,conditional_truth,"{""item"": ""0-2"", ""mode"": ""plain"", ""template"": 0, ""observed"": ""p"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,393,42,287.85,"{""answer"": {""yes"": 3}}"
conditional_truth-0-2-reversed,conditional_truth,"{""item"": ""0-2"", ""mode"": ""reversed"", ""template"": 0, ""observed"": ""p"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,393,42,268.83,"{""answer"": {""yes"": 3}}"
conditional_truth-0-2-explicit,conditional_truth,"{""item"": ""0-2"", ""mode"": ""explicit"", ""template"": 0, ""observed"": ""p"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,418,42,303.47,"{""answer"": {""yes"": 3}}"
conditional_truth-0-3-plain,conditional_truth,"{""item"": ""0-3"", ""mode"": ""plain"", ""template"": 0, ""observed"": ""p"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,393,42,328.8,"{""answer"": {""yes"": 3}}"
conditional_truth-0-3-reversed,conditional_truth,"{""item"": ""0-3"", ""mode"": ""reversed"", ""template"": 0, ""observed"": ""p"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,393,42,332.09,"{""answer"": {""yes"": 3}}"
conditional_truth-0-3-explicit,conditional_truth,"{""item"": ""0-3"", ""mode"": ""explicit"", ""template"": 0, ""observed"": ""p"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,418,42,317.85,"{""answer"": {""yes"": 3}}"
conditional_truth-0-4-plain,conditional_truth,"{""item"": ""0-4"", ""mode"": ""plain"", ""template"": 0, ""observed"": ""q"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,0.99,0.99,394,42,381.79,"{""answer"": {""no"": 3}}"
conditional_truth-0-4-reversed,conditional_truth,"{""item"": ""0-4"", ""mode"": ""reversed"", ""template"": 0, ""observed"": ""q"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,0.9933333333333333,0.99,394,42,267.93,"{""answer"": {""no"": 3}}"
conditional_truth-0-4-explicit,conditional_truth,"{""item"": ""0-4"", ""mode"": ""explicit"", ""template"": 0, ""observed"": ""q"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,0.99,0.99,419,42,343.96,"{""answer"": {""no"": 3}}"
conditional_truth-0-5-plain,conditional_truth,"{""item"": ""0-5"", ""mode"": ""plain"", ""template"": 0, ""observed"": ""q"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,394,42,275.8,"{""answer"": {""no"": 3}}"
conditional_truth-0-5-reversed,conditional_truth,"{""item"": ""0-5"", ""mode"": ""reversed"", ""template"": 0, ""observed"": ""q"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,394,42,305.0,"{""answer"": {""no"": 3}}"
conditional_truth-0-5-explicit,conditional_truth,"{""item"": ""0-5"", ""mode"": ""explicit"", ""template"": 0, ""observed"": ""q"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,419,42,263.22,"{""answer"": {""no"": 3}}"
conditional_truth-0-6-plain,conditional_truth,"{""item"": ""0-6"", ""mode"": ""plain"", ""template"": 0, ""observed"": ""q"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,393,46,301.83,"{""answer"": {""cannot_be_determined"": 3}}"
conditional_truth-0-6-reversed,conditional_truth,"{""item"": ""0-6"", ""mode"": ""reversed"", ""template"": 0, ""observed"": ""q"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,393,46,297.76,"{""answer"": {""cannot_be_determined"": 3}}"
conditional_truth-0-6-explicit,conditional_truth,"{""item"": ""0-6"", ""mode"": ""explicit"", ""template"": 0, ""observed"": ""q"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,418,46,317.74,"{""answer"": {""cannot_be_determined"": 3}}"
