case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
exact_count-4-True-explicit,exact_count,1,answer,3,3,True,0.54,0.6,0.6,0.24520000000000003
exact_count-4-False-explicit,exact_count,2,answer,3,2,False,0.74,0.14,0.78,1.3544
conditional_truth-4-0-explicit,conditional_truth,3,answer,no,no,True,1.0,1.0,1.0,0.0
conditional_truth-7-1-reversed,conditional_truth,4,answer,cannot_be_determined,cannot_be_determined,True,1.0,1.0,1.0,0.0
conditional_truth-3-1-reversed,conditional_truth,5,answer,cannot_be_determined,cannot_be_determined,True,1.0,1.0,1.0,0.0
conditional_truth-4-4-plain,conditional_truth,6,answer,no,no,True,1.0,1.0,1.0,0.0
conditional_truth-6-7-plain,conditional_truth,7,answer,yes,yes,True,1.0,1.0,1.0,0.0
conditional_truth-3-3-plain,conditional_truth,8,answer,yes,yes,True,1.0,1.0,1.0,0.0
conditional_truth-6-7-reversed,conditional_truth,9,answer,yes,yes,True,0.99,1.0,1.0,0.0
multistep_math-4-False-reversed,multistep_math,10,answer,640,640,True,0.65,0.73,0.73,0.114
conditional_truth-0-3-explicit,conditional_truth,11,answer,yes,yes,True,1.0,1.0,1.0,0.0
exact_count-2-False-explicit,exact_count,12,answer,3,2,False,0.85,0.05,0.87,1.6658
conditional_truth-5-3-explicit,conditional_truth,13,answer,yes,yes,True,1.0,1.0,1.0,0.0
conditional_truth-0-5-explicit,conditional_truth,14,answer,no,no,True,1.0,1.0,1.0,0.0
conditional_truth-4-6-plain,conditional_truth,15,answer,cannot_be_determined,cannot_be_determined,True,1.0,1.0,1.0,0.0
conditional_truth-1-0-reversed,conditional_truth,16,answer,no,no,True,1.0,1.0,1.0,0.0
conditional_truth-6-6-plain,conditional_truth,17,answer,cannot_be_determined,cannot_be_determined,True,1.0,1.0,1.0,0.0
conditional_truth-6-3-plain,conditional_truth,18,answer,yes,yes,True,1.0,1.0,1.0,0.0
exact_count-9-True-reversed,exact_count,19,answer,4,4,True,0.94,0.95,0.95,0.0038000000000000043
long_tracking-12-1-reversed,long_tracking,20,answer,hall,hall,True,1.0,1.0,1.0,0.0
exact_count-4-False-reversed,exact_count,21,answer,3,2,False,0.56,0.29,0.61,0.8844
multistep_math-0-True-plain,multistep_math,22,answer,21,17,False,0.43,0.41,0.57,0.6734
conditional_truth-5-2-explicit,conditional_truth,23,answer,yes,yes,True,1.0,1.0,1.0,0.0
multistep_math-2-True-plain,multistep_math,24,answer,97,97,True,0.44,0.59,0.59,0.32060000000000005
conditional_truth-3-0-explicit,conditional_truth,25,answer,no,no,True,1.0,1.0,1.0,0.0
conditional_truth-6-0-explicit,conditional_truth,26,answer,no,no,True,1.0,1.0,1.0,0.0
conditional_truth-4-1-plain,conditional_truth,27,answer,cannot_be_determined,cannot_be_determined,True,1.0,1.0,1.0,0.0
conditional_truth-2-7-explicit,conditional_truth,28,answer,yes,yes,True,0.99,0.99,0.99,0.0002000000000000002
conditional_truth-2-1-plain,conditional_truth,29,answer,cannot_be_determined,cannot_be_determined,True,1.0,1.0,1.0,0.0
conditional_truth-5-4-plain,conditional_truth,30,answer,no,no,True,0.99,0.99,0.99,0.0002000000000000002
conditional_truth-0-6-explicit,conditional_truth,31,answer,cannot_be_determined,cannot_be_determined,True,1.0,1.0,1.0,0.0
