id,group,factors,requests,correct,accuracy,question_count,mean_target_probability,mean_confidence,input_tokens,output_tokens,latency_ms,selections
conditional-0-plain,conditional,"{""item"": ""0"", ""mode"": ""plain"", ""observed"": ""p"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,349,42,289.81,"{""answer"": {""no"": 3}}"
conditional-0-reversed,conditional,"{""item"": ""0"", ""mode"": ""reversed"", ""observed"": ""p"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,349,42,319.83,"{""answer"": {""no"": 3}}"
conditional-0-explicit,conditional,"{""item"": ""0"", ""mode"": ""explicit"", ""observed"": ""p"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,374,42,350.03,"{""answer"": {""no"": 3}}"
conditional-1-plain,conditional,"{""item"": ""1"", ""mode"": ""plain"", ""observed"": ""p"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,0.7633333333333333,0.64,349,46,365.81,"{""answer"": {""cannot_be_determined"": 3}}"
conditional-1-reversed,conditional,"{""item"": ""1"", ""mode"": ""reversed"", ""observed"": ""p"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,0.7266666666666667,0.5933333333333333,349,46,299.66,"{""answer"": {""cannot_be_determined"": 3}}"
conditional-1-explicit,conditional,"{""item"": ""1"", ""mode"": ""explicit"", ""observed"": ""p"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,0.7966666666666666,0.6900000000000001,374,46,281.2,"{""answer"": {""cannot_be_determined"": 3}}"
conditional-2-plain,conditional,"{""item"": ""2"", ""mode"": ""plain"", ""observed"": ""p"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,348,42,301.89,"{""answer"": {""yes"": 3}}"
conditional-2-reversed,conditional,"{""item"": ""2"", ""mode"": ""reversed"", ""observed"": ""p"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,348,42,293.58,"{""answer"": {""yes"": 3}}"
conditional-2-explicit,conditional,"{""item"": ""2"", ""mode"": ""explicit"", ""observed"": ""p"", ""value"": true, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,373,42,315.13,"{""answer"": {""yes"": 3}}"
conditional-3-plain,conditional,"{""item"": ""3"", ""mode"": ""plain"", ""observed"": ""p"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,348,42,284.71,"{""answer"": {""yes"": 3}}"
conditional-3-reversed,conditional,"{""item"": ""3"", ""mode"": ""reversed"", ""observed"": ""p"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,348,42,308.45,"{""answer"": {""yes"": 3}}"
conditional-3-explicit,conditional,"{""item"": ""3"", ""mode"": ""explicit"", ""observed"": ""p"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,373,42,291.95,"{""answer"": {""yes"": 3}}"
conditional-4-plain,conditional,"{""item"": ""4"", ""mode"": ""plain"", ""observed"": ""q"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,1.0,0.99,349,42,283.37,"{""answer"": {""no"": 3}}"
conditional-4-reversed,conditional,"{""item"": ""4"", ""mode"": ""reversed"", ""observed"": ""q"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,1.0,1.0,349,42,284.43,"{""answer"": {""no"": 3}}"
conditional-4-explicit,conditional,"{""item"": ""4"", ""mode"": ""explicit"", ""observed"": ""q"", ""value"": false, ""target"": ""p""}",3,3,1.0,3,0.9933333333333333,0.99,374,42,297.77,"{""answer"": {""no"": 3}}"
conditional-5-plain,conditional,"{""item"": ""5"", ""mode"": ""plain"", ""observed"": ""q"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,349,42,280.57,"{""answer"": {""no"": 3}}"
conditional-5-reversed,conditional,"{""item"": ""5"", ""mode"": ""reversed"", ""observed"": ""q"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,349,42,283.94,"{""answer"": {""no"": 3}}"
conditional-5-explicit,conditional,"{""item"": ""5"", ""mode"": ""explicit"", ""observed"": ""q"", ""value"": false, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,374,42,273.85,"{""answer"": {""no"": 3}}"
conditional-6-plain,conditional,"{""item"": ""6"", ""mode"": ""plain"", ""observed"": ""q"", ""value"": true, ""target"": ""p""}",3,0,0.0,3,0.28,0.5833333333333334,348,42,283.69,"{""answer"": {""no"": 3}}"
conditional-6-reversed,conditional,"{""item"": ""6"", ""mode"": ""reversed"", ""observed"": ""q"", ""value"": true, ""target"": ""p""}",3,0,0.0,3,0.20666666666666667,0.6933333333333334,348,42,310.2,"{""answer"": {""no"": 3}}"
conditional-6-explicit,conditional,"{""item"": ""6"", ""mode"": ""explicit"", ""observed"": ""q"", ""value"": true, ""target"": ""p""}",3,2,0.6666666666666666,3,0.5033333333333334,0.3,373,44.666666666666664,273.84,"{""answer"": {""cannot_be_determined"": 2, ""no"": 1}}"
conditional-7-plain,conditional,"{""item"": ""7"", ""mode"": ""plain"", ""observed"": ""q"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,0.9966666666666667,348,42,274.19,"{""answer"": {""yes"": 3}}"
conditional-7-reversed,conditional,"{""item"": ""7"", ""mode"": ""reversed"", ""observed"": ""q"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,0.9966666666666667,348,42,338.4,"{""answer"": {""yes"": 3}}"
conditional-7-explicit,conditional,"{""item"": ""7"", ""mode"": ""explicit"", ""observed"": ""q"", ""value"": true, ""target"": ""q""}",3,3,1.0,3,1.0,1.0,373,42,318.18,"{""answer"": {""yes"": 3}}"
negation-0-plain,negation,"{""item"": ""0"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,335,42,336.29,"{""answer"": {""no"": 3}}"
negation-0-reversed,negation,"{""item"": ""0"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,335,42,320.88,"{""answer"": {""no"": 3}}"
negation-0-explicit,negation,"{""item"": ""0"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,360,42,326.63,"{""answer"": {""no"": 3}}"
negation-1-plain,negation,"{""item"": ""1"", ""mode"": ""plain""}",3,3,1.0,3,0.8533333333333333,0.7766666666666666,336,42,299.0,"{""answer"": {""yes"": 3}}"
negation-1-reversed,negation,"{""item"": ""1"", ""mode"": ""reversed""}",3,3,1.0,3,0.86,0.79,336,42,287.41,"{""answer"": {""yes"": 3}}"
negation-1-explicit,negation,"{""item"": ""1"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,361,42,390.61,"{""answer"": {""yes"": 3}}"
negation-2-plain,negation,"{""item"": ""2"", ""mode"": ""plain""}",3,3,1.0,3,0.9633333333333333,0.9433333333333332,334,42,311.93,"{""answer"": {""yes"": 3}}"
negation-2-reversed,negation,"{""item"": ""2"", ""mode"": ""reversed""}",3,3,1.0,3,0.96,0.9433333333333332,334,42,277.49,"{""answer"": {""yes"": 3}}"
negation-2-explicit,negation,"{""item"": ""2"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,359,42,278.53,"{""answer"": {""yes"": 3}}"
negation-3-plain,negation,"{""item"": ""3"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,335,42,307.66,"{""answer"": {""no"": 3}}"
negation-3-reversed,negation,"{""item"": ""3"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,335,42,290.7,"{""answer"": {""no"": 3}}"
negation-3-explicit,negation,"{""item"": ""3"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,360,42,380.82,"{""answer"": {""no"": 3}}"
quantifiers-0-plain,quantifiers,"{""item"": ""0"", ""mode"": ""plain""}",3,3,1.0,3,0.99,0.9833333333333333,345,42,337.85,"{""answer"": {""yes"": 3}}"
quantifiers-0-reversed,quantifiers,"{""item"": ""0"", ""mode"": ""reversed""}",3,3,1.0,3,0.99,0.99,345,42,327.03,"{""answer"": {""yes"": 3}}"
quantifiers-0-explicit,quantifiers,"{""item"": ""0"", ""mode"": ""explicit""}",3,3,1.0,3,0.9933333333333333,0.9866666666666667,370,42,304.82,"{""answer"": {""yes"": 3}}"
quantifiers-1-plain,quantifiers,"{""item"": ""1"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,345,42,304.64,"{""answer"": {""no"": 3}}"
quantifiers-1-reversed,quantifiers,"{""item"": ""1"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,345,42,299.63,"{""answer"": {""no"": 3}}"
quantifiers-1-explicit,quantifiers,"{""item"": ""1"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,370,42,330.94,"{""answer"": {""no"": 3}}"
quantifiers-2-plain,quantifiers,"{""item"": ""2"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,345,46,271.32,"{""answer"": {""cannot_be_determined"": 3}}"
quantifiers-2-reversed,quantifiers,"{""item"": ""2"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,345,46,270.02,"{""answer"": {""cannot_be_determined"": 3}}"
quantifiers-2-explicit,quantifiers,"{""item"": ""2"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,370,46,317.92,"{""answer"": {""cannot_be_determined"": 3}}"
quantifiers-3-plain,quantifiers,"{""item"": ""3"", ""mode"": ""plain""}",3,3,1.0,3,0.99,0.99,345,46,322.44,"{""answer"": {""cannot_be_determined"": 3}}"
quantifiers-3-reversed,quantifiers,"{""item"": ""3"", ""mode"": ""reversed""}",3,3,1.0,3,0.99,0.9833333333333333,345,46,295.33,"{""answer"": {""cannot_be_determined"": 3}}"
quantifiers-3-explicit,quantifiers,"{""item"": ""3"", ""mode"": ""explicit""}",3,3,1.0,3,0.99,0.98,370,46,397.81,"{""answer"": {""cannot_be_determined"": 3}}"
quantifiers-4-plain,quantifiers,"{""item"": ""4"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,346,42,271.95,"{""answer"": {""no"": 3}}"
quantifiers-4-reversed,quantifiers,"{""item"": ""4"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,346,42,284.8,"{""answer"": {""no"": 3}}"
quantifiers-4-explicit,quantifiers,"{""item"": ""4"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,371,42,287.13,"{""answer"": {""no"": 3}}"
quantifiers-5-plain,quantifiers,"{""item"": ""5"", ""mode"": ""plain""}",3,3,1.0,3,0.8333333333333334,0.7466666666666667,342,42,323.23,"{""answer"": {""yes"": 3}}"
quantifiers-5-reversed,quantifiers,"{""item"": ""5"", ""mode"": ""reversed""}",3,3,1.0,3,0.8233333333333334,0.73,342,42,277.91,"{""answer"": {""yes"": 3}}"
quantifiers-5-explicit,quantifiers,"{""item"": ""5"", ""mode"": ""explicit""}",3,3,1.0,3,0.7466666666666667,0.6233333333333333,367,42,296.75,"{""answer"": {""yes"": 3}}"
quantifiers-6-plain,quantifiers,"{""item"": ""6"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,342,42,340.08,"{""answer"": {""no"": 3}}"
quantifiers-6-reversed,quantifiers,"{""item"": ""6"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,342,42,332.77,"{""answer"": {""no"": 3}}"
quantifiers-6-explicit,quantifiers,"{""item"": ""6"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,367,42,290.49,"{""answer"": {""no"": 3}}"
quantifiers-7-plain,quantifiers,"{""item"": ""7"", ""mode"": ""plain""}",3,3,1.0,3,0.98,0.9633333333333333,341,46,293.99,"{""answer"": {""cannot_be_determined"": 3}}"
quantifiers-7-reversed,quantifiers,"{""item"": ""7"", ""mode"": ""reversed""}",3,3,1.0,3,0.9566666666666667,0.9333333333333333,341,46,285.49,"{""answer"": {""cannot_be_determined"": 3}}"
quantifiers-7-explicit,quantifiers,"{""item"": ""7"", ""mode"": ""explicit""}",3,3,1.0,3,0.96,0.94,366,46,350.06,"{""answer"": {""cannot_be_determined"": 3}}"
arithmetic-0-False-plain,arithmetic,"{""item"": ""0-False"", ""mode"": ""plain"", ""noise"": false, ""template"": 0}",3,3,1.0,3,1.0,1.0,353,46,280.77,"{""answer"": {""7"": 3}}"
arithmetic-0-False-reversed,arithmetic,"{""item"": ""0-False"", ""mode"": ""reversed"", ""noise"": false, ""template"": 0}",3,3,1.0,3,1.0,1.0,353,46,301.47,"{""answer"": {""7"": 3}}"
arithmetic-0-False-explicit,arithmetic,"{""item"": ""0-False"", ""mode"": ""explicit"", ""noise"": false, ""template"": 0}",3,3,1.0,3,1.0,1.0,378,46,308.48,"{""answer"": {""7"": 3}}"
arithmetic-0-True-plain,arithmetic,"{""item"": ""0-True"", ""mode"": ""plain"", ""noise"": true, ""template"": 0}",3,3,1.0,3,0.99,0.99,372,46,311.96,"{""answer"": {""7"": 3}}"
arithmetic-0-True-reversed,arithmetic,"{""item"": ""0-True"", ""mode"": ""reversed"", ""noise"": true, ""template"": 0}",3,3,1.0,3,0.99,0.99,372,46,283.42,"{""answer"": {""7"": 3}}"
arithmetic-0-True-explicit,arithmetic,"{""item"": ""0-True"", ""mode"": ""explicit"", ""noise"": true, ""template"": 0}",3,3,1.0,3,1.0,0.9933333333333333,397,46,325.25,"{""answer"": {""7"": 3}}"
arithmetic-1-False-plain,arithmetic,"{""item"": ""1-False"", ""mode"": ""plain"", ""noise"": false, ""template"": 1}",3,3,1.0,3,1.0,0.9966666666666667,358,49,293.61,"{""answer"": {""15"": 3}}"
arithmetic-1-False-reversed,arithmetic,"{""item"": ""1-False"", ""mode"": ""reversed"", ""noise"": false, ""template"": 1}",3,3,1.0,3,0.9966666666666667,0.99,358,49,288.21,"{""answer"": {""15"": 3}}"
arithmetic-1-False-explicit,arithmetic,"{""item"": ""1-False"", ""mode"": ""explicit"", ""noise"": false, ""template"": 1}",3,3,1.0,3,1.0,0.9966666666666667,383,49,296.39,"{""answer"": {""15"": 3}}"
arithmetic-1-True-plain,arithmetic,"{""item"": ""1-True"", ""mode"": ""plain"", ""noise"": true, ""template"": 1}",3,3,1.0,3,0.9833333333333333,0.98,377,49,320.45,"{""answer"": {""15"": 3}}"
arithmetic-1-True-reversed,arithmetic,"{""item"": ""1-True"", ""mode"": ""reversed"", ""noise"": true, ""template"": 1}",3,3,1.0,3,0.9733333333333333,0.9633333333333333,377,49,281.9,"{""answer"": {""15"": 3}}"
arithmetic-1-True-explicit,arithmetic,"{""item"": ""1-True"", ""mode"": ""explicit"", ""noise"": true, ""template"": 1}",3,3,1.0,3,0.99,0.99,402,49,268.94,"{""answer"": {""15"": 3}}"
arithmetic-2-False-plain,arithmetic,"{""item"": ""2-False"", ""mode"": ""plain"", ""noise"": false, ""template"": 2}",3,3,1.0,3,1.0,1.0,358,49,333.4,"{""answer"": {""22"": 3}}"
arithmetic-2-False-reversed,arithmetic,"{""item"": ""2-False"", ""mode"": ""reversed"", ""noise"": false, ""template"": 2}",3,3,1.0,3,1.0,1.0,358,49,300.84,"{""answer"": {""22"": 3}}"
arithmetic-2-False-explicit,arithmetic,"{""item"": ""2-False"", ""mode"": ""explicit"", ""noise"": false, ""template"": 2}",3,3,1.0,3,1.0,1.0,383,49,302.57,"{""answer"": {""22"": 3}}"
arithmetic-2-True-plain,arithmetic,"{""item"": ""2-True"", ""mode"": ""plain"", ""noise"": true, ""template"": 2}",3,3,1.0,3,0.99,0.99,377,49,291.06,"{""answer"": {""22"": 3}}"
arithmetic-2-True-reversed,arithmetic,"{""item"": ""2-True"", ""mode"": ""reversed"", ""noise"": true, ""template"": 2}",3,3,1.0,3,0.99,0.99,377,49,281.58,"{""answer"": {""22"": 3}}"
arithmetic-2-True-explicit,arithmetic,"{""item"": ""2-True"", ""mode"": ""explicit"", ""noise"": true, ""template"": 2}",3,3,1.0,3,1.0,0.9933333333333333,402,49,322.04,"{""answer"": {""22"": 3}}"
arithmetic-3-False-plain,arithmetic,"{""item"": ""3-False"", ""mode"": ""plain"", ""noise"": false, ""template"": 3}",3,3,1.0,3,1.0,1.0,362,50,296.03,"{""answer"": {""44"": 3}}"
arithmetic-3-False-reversed,arithmetic,"{""item"": ""3-False"", ""mode"": ""reversed"", ""noise"": false, ""template"": 3}",3,3,1.0,3,1.0,1.0,362,50,328.11,"{""answer"": {""44"": 3}}"
arithmetic-3-False-explicit,arithmetic,"{""item"": ""3-False"", ""mode"": ""explicit"", ""noise"": false, ""template"": 3}",3,3,1.0,3,1.0,1.0,387,50,285.59,"{""answer"": {""44"": 3}}"
arithmetic-3-True-plain,arithmetic,"{""item"": ""3-True"", ""mode"": ""plain"", ""noise"": true, ""template"": 3}",3,3,1.0,3,0.9933333333333333,0.99,381,50,292.85,"{""answer"": {""44"": 3}}"
arithmetic-3-True-reversed,arithmetic,"{""item"": ""3-True"", ""mode"": ""reversed"", ""noise"": true, ""template"": 3}",3,3,1.0,3,0.99,0.99,381,50,280.31,"{""answer"": {""44"": 3}}"
arithmetic-3-True-explicit,arithmetic,"{""item"": ""3-True"", ""mode"": ""explicit"", ""noise"": true, ""template"": 3}",3,3,1.0,3,1.0,0.9966666666666667,406,50,306.98,"{""answer"": {""44"": 3}}"
arithmetic-4-False-plain,arithmetic,"{""item"": ""4-False"", ""mode"": ""plain"", ""noise"": false, ""template"": 4}",3,3,1.0,3,1.0,1.0,367,52,302.52,"{""answer"": {""92"": 3}}"
arithmetic-4-False-reversed,arithmetic,"{""item"": ""4-False"", ""mode"": ""reversed"", ""noise"": false, ""template"": 4}",3,3,1.0,3,1.0,1.0,367,52,286.13,"{""answer"": {""92"": 3}}"
arithmetic-4-False-explicit,arithmetic,"{""item"": ""4-False"", ""mode"": ""explicit"", ""noise"": false, ""template"": 4}",3,3,1.0,3,1.0,1.0,392,52,312.64,"{""answer"": {""92"": 3}}"
arithmetic-4-True-plain,arithmetic,"{""item"": ""4-True"", ""mode"": ""plain"", ""noise"": true, ""template"": 4}",3,3,1.0,3,1.0,0.9966666666666667,386,52,345.77,"{""answer"": {""92"": 3}}"
arithmetic-4-True-reversed,arithmetic,"{""item"": ""4-True"", ""mode"": ""reversed"", ""noise"": true, ""template"": 4}",3,3,1.0,3,1.0,1.0,386,52,384.32,"{""answer"": {""92"": 3}}"
arithmetic-4-True-explicit,arithmetic,"{""item"": ""4-True"", ""mode"": ""explicit"", ""noise"": true, ""template"": 4}",3,3,1.0,3,1.0,1.0,411,52,298.07,"{""answer"": {""92"": 3}}"
arithmetic-5-False-plain,arithmetic,"{""item"": ""5-False"", ""mode"": ""plain"", ""noise"": false, ""template"": 5}",3,3,1.0,3,1.0,1.0,371,55,295.2,"{""answer"": {""167"": 3}}"
arithmetic-5-False-reversed,arithmetic,"{""item"": ""5-False"", ""mode"": ""reversed"", ""noise"": false, ""template"": 5}",3,3,1.0,3,1.0,1.0,371,55,271.17,"{""answer"": {""167"": 3}}"
arithmetic-5-False-explicit,arithmetic,"{""item"": ""5-False"", ""mode"": ""explicit"", ""noise"": false, ""template"": 5}",3,3,1.0,3,1.0,1.0,396,55,292.52,"{""answer"": {""167"": 3}}"
arithmetic-5-True-plain,arithmetic,"{""item"": ""5-True"", ""mode"": ""plain"", ""noise"": true, ""template"": 5}",3,3,1.0,3,1.0,1.0,390,55,296.48,"{""answer"": {""167"": 3}}"
arithmetic-5-True-reversed,arithmetic,"{""item"": ""5-True"", ""mode"": ""reversed"", ""noise"": true, ""template"": 5}",3,3,1.0,3,1.0,0.9966666666666667,390,55,302.44,"{""answer"": {""167"": 3}}"
arithmetic-5-True-explicit,arithmetic,"{""item"": ""5-True"", ""mode"": ""explicit"", ""noise"": true, ""template"": 5}",3,3,1.0,3,1.0,1.0,415,55,339.15,"{""answer"": {""167"": 3}}"
decimal-0-plain,decimal,"{""item"": ""0"", ""mode"": ""plain""}",3,3,1.0,3,0.9933333333333333,0.99,340,38,339.23,"{""answer"": {""second"": 3}}"
decimal-0-reversed,decimal,"{""item"": ""0"", ""mode"": ""reversed""}",3,3,1.0,3,0.9933333333333333,0.99,340,38,293.23,"{""answer"": {""second"": 3}}"
decimal-0-explicit,decimal,"{""item"": ""0"", ""mode"": ""explicit""}",3,3,1.0,3,0.97,0.9533333333333333,365,38,339.34,"{""answer"": {""second"": 3}}"
decimal-1-plain,decimal,"{""item"": ""1"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,340,38,397.43,"{""answer"": {""first"": 3}}"
decimal-1-reversed,decimal,"{""item"": ""1"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,340,38,307.18,"{""answer"": {""first"": 3}}"
decimal-1-explicit,decimal,"{""item"": ""1"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,365,38,316.88,"{""answer"": {""first"": 3}}"
decimal-2-plain,decimal,"{""item"": ""2"", ""mode"": ""plain""}",3,3,1.0,3,0.99,0.99,342,38,299.55,"{""answer"": {""second"": 3}}"
decimal-2-reversed,decimal,"{""item"": ""2"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,0.9933333333333333,342,38,350.4,"{""answer"": {""second"": 3}}"
decimal-2-explicit,decimal,"{""item"": ""2"", ""mode"": ""explicit""}",3,3,1.0,3,0.9733333333333333,0.96,367,38,308.06,"{""answer"": {""second"": 3}}"
decimal-3-plain,decimal,"{""item"": ""3"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,341,38,299.85,"{""answer"": {""first"": 3}}"
decimal-3-reversed,decimal,"{""item"": ""3"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,341,38,278.61,"{""answer"": {""first"": 3}}"
decimal-3-explicit,decimal,"{""item"": ""3"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,366,38,319.04,"{""answer"": {""first"": 3}}"
decimal-4-plain,decimal,"{""item"": ""4"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,340,38,330.75,"{""answer"": {""second"": 3}}"
decimal-4-reversed,decimal,"{""item"": ""4"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,340,38,293.98,"{""answer"": {""second"": 3}}"
decimal-4-explicit,decimal,"{""item"": ""4"", ""mode"": ""explicit""}",3,3,1.0,3,1.0,1.0,365,38,339.77,"{""answer"": {""second"": 3}}"
decimal-5-plain,decimal,"{""item"": ""5"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,342,38,295.3,"{""answer"": {""equal"": 3}}"
decimal-5-reversed,decimal,"{""item"": ""5"", ""mode"": ""reversed""}",3,3,1.0,3,1.0,1.0,342,38,287.31,"{""answer"": {""equal"": 3}}"
decimal-5-explicit,decimal,"{""item"": ""5"", ""mode"": ""explicit""}",3,3,1.0,3,0.98,0.98,367,38,260.59,"{""answer"": {""equal"": 3}}"
object_tracking-0-plain,object_tracking,"{""item"": ""0"", ""mode"": ""plain""}",3,3,1.0,3,1.0,1.0,354,48,286.76,"{""answer"": {""kitchen"": 3}}"
