case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
pipeline-539,pipeline,1,answer,bring,bring,True,1.0,1.0,1.0,0.0
pipeline-739,pipeline,2,answer,bring,bring,True,0.99,1.0,1.0,0.0
pipeline-1569,pipeline,3,answer,bring,bring,True,0.95,0.97,0.97,0.0018000000000000017
pipeline-663,pipeline,4,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
pipeline-1460,pipeline,5,answer,bring,bring,True,0.99,1.0,1.0,0.0
pipeline-1402,pipeline,6,answer,bring,bring,True,0.96,0.98,0.98,0.0008000000000000008
pipeline-1293,pipeline,7,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
pipeline-1241,pipeline,8,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
pipeline-498,pipeline,9,answer,bring,bring,True,1.0,1.0,1.0,0.0
pipeline-1319,pipeline,10,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
pipeline-1063,pipeline,11,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
pipeline-1577,pipeline,12,answer,bring,bring,True,0.98,0.99,0.99,0.0002000000000000002
pipeline-1419,pipeline,13,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
pipeline-548,pipeline,14,answer,bring,bring,True,0.97,0.98,0.98,0.0008000000000000008
pipeline-1082,pipeline,15,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
pipeline-678,pipeline,16,answer,bring,bring,True,1.0,1.0,1.0,0.0
pipeline-497,pipeline,17,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
pipeline-14,pipeline,18,answer,bring,bring,True,0.98,0.99,0.99,0.0002000000000000002
pipeline-935,pipeline,19,answer,bring,bring,True,0.95,0.97,0.97,0.0018000000000000017
pipeline-1354,pipeline,20,answer,bring,bring,True,1.0,1.0,1.0,0.0
pipeline-1007,pipeline,21,answer,bring,bring,True,0.95,0.98,0.98,0.0008000000000000008
