trial,case_id,family,mode,expected,choice,correct,score_eligible,confidence,input_tokens,output_tokens
1,retrieval-128-start-2-explicit,retrieval,explicit,C022,C022,True,True,1.0,2049,60
2,retrieval-512-start-1-explicit,retrieval,explicit,C011,C011,True,True,1.0,7041,60
3,retrieval-16-end-2-plain,retrieval,plain,C577,C577,True,True,1.0,568,60
4,decimal-2-plain,decimal,plain,second,second,True,True,0.99,342,38
5,arithmetic-5-False-reversed,arithmetic,reversed,167,167,True,True,1.0,371,55
6,retrieval-128-middle-0-reversed,retrieval,reversed,C374,C374,True,True,1.0,2024,60
7,decimal-1-reversed,decimal,reversed,first,first,True,True,1.0,340,38
8,object_tracking-3-plain,object_tracking,plain,office,office,True,True,1.0,354,47
9,decimal-2-plain,decimal,plain,second,second,True,True,0.99,342,38
10,evidence-5-reversed,evidence,reversed,no,no,True,True,1.0,337,42
11,conditional-2-plain,conditional,plain,yes,yes,True,False,1.0,348,42
12,retrieval-512-start-2-plain,retrieval,plain,C022,C022,True,True,1.0,7016,60
13,retrieval-16-middle-1-plain,retrieval,plain,C307,C307,True,True,1.0,568,60
14,ordering-1-reversed,ordering,reversed,Ben,Ben,True,True,1.0,351,47
15,negation-0-reversed,negation,reversed,no,no,True,True,1.0,335,42
16,ordering-2-plain,ordering,plain,Ben,Ben,True,True,1.0,350,47
17,decimal-5-explicit,decimal,explicit,equal,equal,True,True,0.98,367,38
18,object_tracking-5-reversed,object_tracking,reversed,garden,garden,True,True,1.0,369,48
19,decimal-5-plain,decimal,plain,equal,equal,True,True,1.0,342,38
20,retrieval-512-middle-1-plain,retrieval,plain,C510,C510,True,True,1.0,7016,60
21,retrieval-16-end-2-explicit,retrieval,explicit,C577,C577,True,True,1.0,593,60
22,quantifiers-2-plain,quantifiers,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,345,46
23,object_tracking-4-explicit,object_tracking,explicit,hall,hall,True,True,1.0,394,47
24,retrieval-16-start-0-explicit,retrieval,explicit,C000,C000,True,True,1.0,593,60
25,object_tracking-0-reversed,object_tracking,reversed,kitchen,kitchen,True,True,1.0,354,48
26,ordering-0-plain,ordering,plain,Davi,Davi,True,True,1.0,350,48
27,retrieval-16-start-0-plain,retrieval,plain,C000,C000,True,True,1.0,568,60
28,prerequisite-3-True-plain,prerequisite,plain,no,no,True,True,1.0,362,42
29,retrieval-512-end-1-explicit,retrieval,explicit,C972,C972,True,True,1.0,7041,60
30,conditional-4-explicit,conditional,explicit,no,no,True,False,0.99,374,42
31,prerequisite-2-False-plain,prerequisite,plain,yes,yes,True,True,1.0,358,42
32,prerequisite-1-False-reversed,prerequisite,reversed,yes,yes,True,True,0.99,358,42
33,evidence-1-plain,evidence,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,339,46
34,conditional-3-reversed,conditional,reversed,yes,yes,True,False,1.0,348,42
35,object_tracking-5-explicit,object_tracking,explicit,garden,garden,True,True,1.0,394,48
36,decimal-0-explicit,decimal,explicit,second,second,True,True,0.96,365,38
37,conditional-2-explicit,conditional,explicit,yes,yes,True,False,1.0,373,42
38,negation-2-plain,negation,plain,yes,yes,True,True,0.94,334,42
39,retrieval-128-middle-2-plain,retrieval,plain,C396,C396,True,True,1.0,2024,60
40,evidence-4-reversed,evidence,reversed,yes,yes,True,True,0.95,337,42
41,retrieval-512-end-2-reversed,retrieval,reversed,C983,C983,True,True,1.0,7016,60
42,retrieval-512-middle-2-explicit,retrieval,explicit,C521,C521,True,True,1.0,7041,60
43,retrieval-16-middle-0-explicit,retrieval,explicit,C296,C296,True,True,1.0,593,60
44,decimal-2-explicit,decimal,explicit,second,second,True,True,0.96,367,38
45,retrieval-512-middle-0-reversed,retrieval,reversed,C499,C499,True,True,1.0,7016,60
46,retrieval-128-end-0-reversed,retrieval,reversed,C711,C711,True,True,1.0,2024,60
47,retrieval-512-start-1-plain,retrieval,plain,C011,C011,True,True,1.0,7016,60
48,prerequisite-1-True-reversed,prerequisite,reversed,no,no,True,True,1.0,359,42
49,decimal-4-plain,decimal,plain,second,second,True,True,1.0,340,38
50,quantifiers-1-reversed,quantifiers,reversed,no,no,True,True,1.0,345,42
51,retrieval-512-middle-1-plain,retrieval,plain,C510,C510,True,True,1.0,7016,60
52,conditional-0-plain,conditional,plain,no,no,True,False,1.0,349,42
53,conditional-5-reversed,conditional,reversed,no,no,True,False,1.0,349,42
54,ordering-4-reversed,ordering,reversed,Davi,Davi,True,True,1.0,350,48
55,arithmetic-2-True-plain,arithmetic,plain,22,22,True,True,0.99,377,49
56,decimal-5-plain,decimal,plain,equal,equal,True,True,1.0,342,38
57,retrieval-16-end-1-explicit,retrieval,explicit,C566,C566,True,True,1.0,593,60
58,retrieval-128-middle-2-plain,retrieval,plain,C396,C396,True,True,1.0,2024,60
59,quantifiers-1-plain,quantifiers,plain,no,no,True,True,1.0,345,42
60,conditional-2-explicit,conditional,explicit,yes,yes,True,False,1.0,373,42
61,prerequisite-3-False-reversed,prerequisite,reversed,yes,yes,True,True,0.99,361,42
62,object_tracking-7-reversed,object_tracking,reversed,kitchen,kitchen,True,True,1.0,369,48
63,retrieval-512-middle-0-plain,retrieval,plain,C499,C499,True,True,1.0,7016,60
64,arithmetic-5-False-plain,arithmetic,plain,167,167,True,True,1.0,371,55
65,arithmetic-5-False-reversed,arithmetic,reversed,167,167,True,True,1.0,371,55
66,prerequisite-1-True-reversed,prerequisite,reversed,no,no,True,True,1.0,359,42
67,negation-1-explicit,negation,explicit,yes,yes,True,True,1.0,361,42
68,prerequisite-1-False-plain,prerequisite,plain,yes,yes,True,True,1.0,358,42
69,conditional-1-reversed,conditional,reversed,cannot_be_determined,cannot_be_determined,True,False,0.59,349,46
70,prerequisite-2-True-plain,prerequisite,plain,no,no,True,True,1.0,359,42
71,arithmetic-1-True-reversed,arithmetic,reversed,15,15,True,True,0.96,377,49
72,quantifiers-2-plain,quantifiers,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,345,46
73,quantifiers-5-explicit,quantifiers,explicit,yes,yes,True,True,0.62,367,42
74,retrieval-16-start-0-plain,retrieval,plain,C000,C000,True,True,1.0,568,60
75,retrieval-512-middle-0-explicit,retrieval,explicit,C499,C499,True,True,1.0,7041,60
76,retrieval-128-end-2-plain,retrieval,plain,C733,C733,True,True,1.0,2024,60
77,retrieval-128-start-2-plain,retrieval,plain,C022,C022,True,True,1.0,2024,60
78,quantifiers-7-reversed,quantifiers,reversed,cannot_be_determined,cannot_be_determined,True,True,0.94,341,46
79,ordering-1-explicit,ordering,explicit,Ben,Ben,True,True,1.0,376,47
80,retrieval-128-end-0-plain,retrieval,plain,C711,C711,True,True,1.0,2024,60
81,retrieval-512-middle-1-explicit,retrieval,explicit,C510,C510,True,True,1.0,7041,60
82,conditional-1-plain,conditional,plain,cannot_be_determined,cannot_be_determined,True,False,0.62,349,46
83,quantifiers-4-reversed,quantifiers,reversed,no,no,True,True,1.0,346,42
84,quantifiers-5-reversed,quantifiers,reversed,yes,yes,True,True,0.87,342,42
85,arithmetic-1-False-plain,arithmetic,plain,15,15,True,True,1.0,358,49
86,retrieval-16-middle-0-explicit,retrieval,explicit,C296,C296,True,True,1.0,593,60
87,negation-2-reversed,negation,reversed,yes,yes,True,True,0.94,334,42
88,decimal-5-explicit,decimal,explicit,equal,equal,True,True,0.98,367,38
89,conditional-1-explicit,conditional,explicit,cannot_be_determined,cannot_be_determined,True,False,0.67,374,46
90,quantifiers-3-plain,quantifiers,plain,cannot_be_determined,cannot_be_determined,True,True,0.99,345,46
91,evidence-4-plain,evidence,plain,yes,yes,True,True,0.89,337,42
92,conditional-2-reversed,conditional,reversed,yes,yes,True,False,1.0,348,42
93,retrieval-16-end-1-plain,retrieval,plain,C566,C566,True,True,1.0,568,60
94,retrieval-512-end-1-reversed,retrieval,reversed,C972,C972,True,True,1.0,7016,60
95,ordering-0-reversed,ordering,reversed,Davi,Davi,True,True,1.0,350,48
96,retrieval-128-middle-2-plain,retrieval,plain,C396,C396,True,True,1.0,2024,60
97,decimal-0-plain,decimal,plain,second,second,True,True,0.99,340,38
98,retrieval-512-start-1-plain,retrieval,plain,C011,C011,True,True,1.0,7016,60
99,object_tracking-6-reversed,object_tracking,reversed,office,office,True,True,1.0,369,47
100,retrieval-128-middle-1-reversed,retrieval,reversed,C385,C385,True,True,1.0,2024,60
101,retrieval-128-start-1-reversed,retrieval,reversed,C011,C011,True,True,1.0,2024,60
102,retrieval-16-start-1-reversed,retrieval,reversed,C011,C011,True,True,1.0,568,60
103,object_tracking-5-plain,object_tracking,plain,garden,garden,True,True,1.0,369,48
104,evidence-2-reversed,evidence,reversed,no,no,True,True,1.0,341,42
105,quantifiers-5-explicit,quantifiers,explicit,yes,yes,True,True,0.61,367,42
106,ordering-2-reversed,ordering,reversed,Ben,Ben,True,True,1.0,350,47
107,quantifiers-5-plain,quantifiers,plain,yes,yes,True,True,0.73,342,42
108,decimal-0-reversed,decimal,reversed,second,second,True,True,0.99,340,38
109,retrieval-16-middle-2-plain,retrieval,plain,C318,C318,True,True,1.0,568,60
110,retrieval-128-middle-0-plain,retrieval,plain,C374,C374,True,True,1.0,2024,60
111,quantifiers-2-explicit,quantifiers,explicit,cannot_be_determined,cannot_be_determined,True,True,1.0,370,46
112,arithmetic-3-True-plain,arithmetic,plain,44,44,True,True,0.99,381,50
113,quantifiers-6-explicit,quantifiers,explicit,no,no,True,True,1.0,367,42
114,object_tracking-2-plain,object_tracking,plain,garden,garden,True,True,1.0,354,48
115,arithmetic-4-False-reversed,arithmetic,reversed,92,92,True,True,1.0,367,52
116,retrieval-512-end-1-reversed,retrieval,reversed,C972,C972,True,True,1.0,7016,60
117,ordering-1-explicit,ordering,explicit,Ben,Ben,True,True,1.0,376,47
118,evidence-3-explicit,evidence,explicit,yes,yes,True,True,1.0,363,42
