case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
count-error-spaced,counting,1,answer,3,2,False,0.67,0.13,0.71,1.2836
factor-state-direct-0-0,factorial,2,answer,drive,walk,False,0.86,0.07,0.93,1.7298
length-8192-walking-middle-direct,length,3,answer,drive,walk,False,0.94,0.03,0.97,1.8818
length-1024-neutral-start-direct,length,4,answer,drive,walk,False,0.9,0.05,0.95,1.805
length-8192-neutral-middle-checks,length,5,bring,yes,yes,True,0.98,0.99,0.99,0.0002000000000000002
length-8192-neutral-middle-checks,length,5,walk,no,no,True,0.48,0.65,0.65,0.2258
count-rrrrrr-spaced,counting,6,answer,6,6,True,0.96,0.97,0.97,0.0014000000000000017
factor-state-direct-0-0,factorial,7,answer,drive,walk,False,0.92,0.04,0.96,1.8432
transfer-refund-checks,transfer,8,bring,no,no,True,1.0,1.0,1.0,0.0
transfer-refund-checks,transfer,8,walk,yes,yes,True,1.0,1.0,1.0,0.0
transfer-tires-goal,transfer,9,answer,drive,walk,False,0.57,0.22,0.78,1.2168
batch-transport,batching,10,transport,drive,walk,False,0.83,0.09,0.91,1.6562000000000001
count-rrr-algorithm,counting,11,answer,3,3,True,1.0,1.0,1.0,0.0
length-8192-neutral-end-checks,length,12,bring,yes,yes,True,0.96,0.97,0.97,0.0014000000000000017
length-8192-neutral-end-checks,length,12,walk,no,no,True,0.44,0.63,0.63,0.23179999999999998
length-1024-neutral-start-direct,length,13,answer,drive,walk,False,0.89,0.05,0.95,1.805
factor-inline-direct-1-0,factorial,14,answer,drive,walk,False,0.73,0.09,0.82,1.5086
factor-state-direct-1-1,factorial,15,answer,drive,walk,False,0.9,0.04,0.93,1.7869000000000002
key-transport,question_key,16,transport,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
count-cherry-algorithm,counting,17,answer,2,2,True,0.76,0.79,0.79,0.06659999999999999
factor-state-direct-0-0,factorial,18,answer,drive,walk,False,0.77,0.11,0.89,1.5842
transfer-receipt-goal,transfer,19,answer,walk,walk,True,1.0,1.0,1.0,0.0
length-4096-neutral-end-checks,length,20,bring,yes,yes,True,0.95,0.96,0.96,0.002400000000000003
length-4096-neutral-end-checks,length,20,walk,no,no,True,0.67,0.78,0.78,0.08539999999999999
count-rrr-plain,counting,21,answer,3,3,True,1.0,1.0,1.0,0.0
factor-state-direct-0-1,factorial,22,answer,drive,walk,False,0.88,0.06,0.94,1.7671999999999999
key-answer,question_key,23,answer,drive,walk,False,0.81,0.1,0.9,1.62
count-strawberries-algorithm,counting,24,answer,3,2,False,0.38,0.35,0.45,0.6434000000000001
length-256-neutral-start-checks,length,25,bring,yes,yes,True,0.95,0.97,0.97,0.0014000000000000017
length-256-neutral-start-checks,length,25,walk,no,no,True,0.64,0.76,0.76,0.0882
count-raspberry-algorithm,counting,26,answer,3,2,False,0.63,0.23,0.67,1.05
factor-inline-direct-0-0,factorial,27,answer,drive,walk,False,0.73,0.14,0.86,1.4791999999999998
count-r-algorithm,counting,28,answer,1,1,True,0.98,0.99,0.99,0.0002000000000000002
length-4096-neutral-start-direct,length,29,answer,drive,walk,False,0.93,0.03,0.97,1.8818
length-1024-walking-start-checks,length,30,bring,yes,yes,True,0.86,0.91,0.91,0.016199999999999992
