id,group,factors,requests,correct,accuracy,question_count,mean_target_probability,mean_confidence,input_tokens,output_tokens,latency_ms,selections
factor-inline-direct-0-0,factorial,"{""placement"": ""inline"", ""wording"": ""direct"", ""unknown"": false, ""reverse"": false}",25,0,0.0,25,0.1168,0.7684,327,31,296.1,"{""answer"": {""walk"": 25}}"
factor-inline-direct-0-1,factorial,"{""placement"": ""inline"", ""wording"": ""direct"", ""unknown"": false, ""reverse"": true}",25,0,0.0,25,0.0728,0.8563999999999999,327,31,326.02,"{""answer"": {""walk"": 25}}"
factor-inline-direct-1-0,factorial,"{""placement"": ""inline"", ""wording"": ""direct"", ""unknown"": true, ""reverse"": false}",25,0,0.0,25,0.0944,0.7408,345,42,347.82,"{""answer"": {""walk"": 25}}"
factor-inline-direct-1-1,factorial,"{""placement"": ""inline"", ""wording"": ""direct"", ""unknown"": true, ""reverse"": true}",25,0,0.0,25,0.02,0.8712,345,42,323.33,"{""answer"": {""walk"": 25}}"
factor-inline-goal-0-0,factorial,"{""placement"": ""inline"", ""wording"": ""goal"", ""unknown"": false, ""reverse"": false}",25,20,0.8,25,0.552,0.1216,338,31,327.45,"{""answer"": {""walk"": 5, ""drive"": 20}}"
factor-inline-goal-0-1,factorial,"{""placement"": ""inline"", ""wording"": ""goal"", ""unknown"": false, ""reverse"": true}",25,23,0.92,25,0.5904,0.1988,338,31,316.88,"{""answer"": {""drive"": 23, ""walk"": 2}}"
factor-inline-goal-1-0,factorial,"{""placement"": ""inline"", ""wording"": ""goal"", ""unknown"": true, ""reverse"": false}",25,21,0.84,25,0.5524,0.338,356,42,318.4,"{""answer"": {""walk"": 4, ""drive"": 21}}"
factor-inline-goal-1-1,factorial,"{""placement"": ""inline"", ""wording"": ""goal"", ""unknown"": true, ""reverse"": true}",25,25,1.0,25,0.5564,0.334,356,42,309.51,"{""answer"": {""drive"": 25}}"
factor-state-direct-0-0,factorial,"{""placement"": ""state"", ""wording"": ""direct"", ""unknown"": false, ""reverse"": false}",25,0,0.0,25,0.06760000000000001,0.8628,327,31,315.09,"{""answer"": {""walk"": 25}}"
factor-state-direct-0-1,factorial,"{""placement"": ""state"", ""wording"": ""direct"", ""unknown"": false, ""reverse"": true}",25,0,0.0,25,0.048,0.902,327,31,314.35,"{""answer"": {""walk"": 25}}"
factor-state-direct-1-0,factorial,"{""placement"": ""state"", ""wording"": ""direct"", ""unknown"": true, ""reverse"": false}",25,0,0.0,25,0.0796,0.812,345,42,313.94,"{""answer"": {""walk"": 25}}"
factor-state-direct-1-1,factorial,"{""placement"": ""state"", ""wording"": ""direct"", ""unknown"": true, ""reverse"": true}",25,0,0.0,25,0.0608,0.8696,345,42,319.39,"{""answer"": {""walk"": 25}}"
factor-state-goal-0-0,factorial,"{""placement"": ""state"", ""wording"": ""goal"", ""unknown"": false, ""reverse"": false}",25,0,0.0,25,0.2304,0.5388000000000001,338,31,316.77,"{""answer"": {""walk"": 25}}"
factor-state-goal-0-1,factorial,"{""placement"": ""state"", ""wording"": ""goal"", ""unknown"": false, ""reverse"": true}",25,0,0.0,25,0.3696,0.2632,338,31,294.67,"{""answer"": {""walk"": 25}}"
factor-state-goal-1-0,factorial,"{""placement"": ""state"", ""wording"": ""goal"", ""unknown"": true, ""reverse"": false}",25,0,0.0,25,0.19240000000000002,0.6668,356,42,301.26,"{""answer"": {""walk"": 25}}"
factor-state-goal-1-1,factorial,"{""placement"": ""state"", ""wording"": ""goal"", ""unknown"": true, ""reverse"": true}",25,0,0.0,25,0.276,0.498,356,42,323.07,"{""answer"": {""walk"": 25}}"
batch-A,batching,"{""names"": [""A""]}",25,25,1.0,25,0.9803999999999999,0.9696,356,42,316.46,"{""A"": {""yes"": 25}}"
batch-B,batching,"{""names"": [""B""]}",25,25,1.0,25,1.0,0.9932,365,42,335.18,"{""B"": {""no"": 25}}"
batch-A-B,batching,"{""names"": [""A"", ""B""]}",25,25,1.0,50,0.9898,0.9822,441,81,328.25,"{""A"": {""yes"": 25}, ""B"": {""no"": 25}}"
batch-transport,batching,"{""names"": [""transport""]}",25,0,0.0,25,0.0876,0.8244,328,31,300.91,"{""transport"": {""walk"": 25}}"
batch-A-B-transport,batching,"{""names"": [""A"", ""B"", ""transport""]}",25,0,0.0,75,0.6906666666666667,0.9274666666666667,489,109,319.0,"{""A"": {""yes"": 25}, ""B"": {""no"": 25}, ""transport"": {""walk"": 25}}"
