id,variant,stage,valid,latency_ms,input_tokens,output_tokens,choice,http_status,error
egocentric-8101:1,egocentric,proposal,True,472.81,602,38,left,200,
egocentric-8101:2,egocentric,proposal,True,448.29,602,38,left,200,
egocentric-8101:3,egocentric,proposal,True,369.53,601,38,right,200,
egocentric-8101:4,egocentric,proposal,True,411.23,600,38,straight,200,
egocentric-8101:5,egocentric,proposal,True,465.06,607,38,straight,200,
egocentric-8101:6,egocentric,proposal,True,700.89,607,38,straight,200,
egocentric-8101:7,egocentric,proposal,True,395.06,608,38,right,200,
egocentric-8101:8,egocentric,proposal,True,538.8,608,38,straight,200,
egocentric-8101:9,egocentric,proposal,True,375.75,608,38,straight,200,
egocentric-8101:10,egocentric,proposal,True,410.72,608,38,straight,200,
egocentric-8101:11,egocentric,proposal,True,286.16,615,38,right,200,
egocentric-8101:12,egocentric,proposal,True,377.06,614,38,straight,200,
egocentric-8101:13,egocentric,proposal,True,268.01,614,38,straight,200,
egocentric-8101:14,egocentric,proposal,True,385.24,614,38,straight,200,
egocentric-8101:15,egocentric,proposal,True,343.08,614,38,straight,200,
egocentric-8101:16,egocentric,proposal,True,329.14,621,38,straight,200,
egocentric-8101:17,egocentric,proposal,True,312.42,621,38,straight,200,
egocentric-8101:18,egocentric,proposal,True,323.14,621,38,straight,200,
egocentric-8101:19,egocentric,proposal,True,305.76,621,38,straight,200,
egocentric-8101:20,egocentric,proposal,True,392.36,622,38,right,200,
egocentric-8101:21,egocentric,proposal,True,341.41,622,38,straight,200,
egocentric-8101:22,egocentric,proposal,True,303.6,622,38,straight,200,
egocentric-8101:23,egocentric,proposal,True,477.07,622,38,straight,200,
egocentric-8101:24,egocentric,proposal,True,456.14,622,38,straight,200,
egocentric-8101:25,egocentric,proposal,True,506.39,622,38,straight,200,
egocentric-8101:26,egocentric,proposal,True,357.38,623,38,straight,200,
egocentric-8101:27,egocentric,proposal,True,281.97,631,38,right,200,
egocentric-8101:28,egocentric,proposal,True,430.76,629,38,straight,200,
egocentric-8101:29,egocentric,proposal,True,335.24,629,38,straight,200,
egocentric-8101:30,egocentric,proposal,True,279.23,629,38,straight,200,
egocentric-8101:31,egocentric,proposal,True,541.69,629,38,straight,200,
egocentric-8101:32,egocentric,proposal,True,404.69,629,38,straight,200,
egocentric-8101:33,egocentric,proposal,True,472.28,629,38,straight,200,
egocentric-8101:34,egocentric,proposal,True,390.94,629,38,straight,200,
egocentric-8101:35,egocentric,proposal,True,526.91,629,38,straight,200,
egocentric-8101:36,egocentric,proposal,True,300.23,630,38,straight,200,
egocentric-8101:37,egocentric,proposal,True,478.8,640,38,right,200,
egocentric-8101:38,egocentric,proposal,True,525.01,636,38,straight,200,
egocentric-8101:39,egocentric,proposal,True,461.9,636,38,straight,200,
egocentric-8101:40,egocentric,proposal,True,356.52,636,38,straight,200,
egocentric-8101:41,egocentric,proposal,True,288.54,636,38,straight,200,
egocentric-8101:42,egocentric,proposal,True,366.83,636,38,straight,200,
egocentric-8101:43,egocentric,proposal,True,358.17,636,38,right,200,
egocentric-8101:44,egocentric,proposal,True,283.83,638,38,straight,200,
egocentric-8101:45,egocentric,proposal,True,291.37,636,38,straight,200,
