case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
described-oil-0,described_transfer,1,answer,drive,drive,True,0.44,0.72,0.72,0.15680000000000002
evidence-previous_answers,evidence,2,answer,drive,drive,True,0.69,0.85,0.85,0.045000000000000005
distance-drive5,distance,3,answer,drive,drive,True,1.0,1.0,1.0,0.0
replicate-inline-direct,replication,4,answer,drive,walk,False,0.81,0.09,0.91,1.6562000000000001
replicate-inline-goal,replication,5,answer,drive,drive,True,0.22,0.61,0.61,0.3042
distance-km50,distance,6,answer,drive,drive,True,1.0,1.0,1.0,0.0
described-keys-1,described_transfer,7,answer,walk,drive,False,0.04,0.48,0.52,0.5408000000000001
described-inspection-1,described_transfer,8,answer,drive,drive,True,0.51,0.76,0.76,0.1152
countfollow-straberry-state-explicit,count_followup,9,answer,3,3,True,0.47,0.52,0.52,0.3522
evidence-previous_answers,evidence,10,answer,drive,drive,True,0.8,0.9,0.9,0.019999999999999997
described-refund-1,described_transfer,11,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-wash-1,described_transfer,12,answer,drive,drive,True,0.68,0.84,0.84,0.05120000000000001
countfollow-strawberry-state-explicit,count_followup,13,answer,3,2,False,0.49,0.38,0.55,0.6894
countfollow-straberry-inline-original,count_followup,14,answer,3,2,False,0.55,0.34,0.6,0.7981999999999999
replicate-inline-goal,replication,15,answer,drive,drive,True,0.24,0.62,0.62,0.2888
described-weigh-0,described_transfer,16,answer,drive,drive,True,0.43,0.71,0.71,0.16820000000000002
described-supplies-0,described_transfer,17,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-interview-0,described_transfer,18,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-mobile-1,described_transfer,19,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-alignment-1,described_transfer,20,answer,drive,drive,True,0.39,0.69,0.69,0.19220000000000004
described-office-1,described_transfer,21,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
replicate-state-goal,replication,22,answer,drive,walk,False,0.51,0.24,0.76,1.1552
described-brakes-1,described_transfer,23,answer,drive,drive,True,0.78,0.89,0.89,0.0242
replicate-state-direct,replication,24,answer,drive,walk,False,0.84,0.08,0.92,1.6928
replicate-state-direct,replication,25,answer,drive,walk,False,0.86,0.07,0.93,1.7298
described-refund-0,described_transfer,26,answer,walk,walk,True,1.0,1.0,1.0,0.0
countfollow-straberry-inline-explicit,count_followup,27,answer,3,3,True,0.42,0.47,0.47,0.48600000000000004
described-brakes-1,described_transfer,28,answer,drive,drive,True,0.77,0.88,0.88,0.0288
replicate-inline-direct,replication,29,answer,drive,walk,False,0.78,0.11,0.89,1.5842
described-job-0,described_transfer,30,answer,walk,walk,True,1.0,1.0,1.0,0.0
described-pickup-0,described_transfer,31,answer,walk,walk,True,0.97,0.99,0.99,0.0002000000000000002
replicate-inline-direct,replication,32,answer,drive,walk,False,0.73,0.13,0.87,1.5138
