id,group,factors,requests,correct,accuracy,question_count,mean_target_probability,mean_confidence,input_tokens,output_tokens,latency_ms,selections
decision-0-service-direct-False,decision,"{""scenario"": ""0-service"", ""kind"": ""service"", ""mode"": ""direct"", ""reverse"": false, ""label"": ""bring""}",3,3,1.0,3,0.98,0.9566666666666667,362,32,341.63,"{""answer"": {""bring"": 3}}"
decision-0-service-described-False,decision,"{""scenario"": ""0-service"", ""kind"": ""service"", ""mode"": ""described"", ""reverse"": false, ""label"": ""bring""}",3,3,1.0,3,0.9833333333333333,0.97,383,32,339.4,"{""answer"": {""bring"": 3}}"
decision-0-service-check-False,decision,"{""scenario"": ""0-service"", ""kind"": ""service"", ""mode"": ""check"", ""reverse"": false, ""label"": ""bring""}",3,3,1.0,3,0.9966666666666667,0.99,399,42,321.83,"{""answer"": {""yes"": 3}}"
decision-0-service-direct-True,decision,"{""scenario"": ""0-service"", ""kind"": ""service"", ""mode"": ""direct"", ""reverse"": true, ""label"": ""bring""}",3,3,1.0,3,0.97,0.9433333333333334,362,32,326.37,"{""answer"": {""bring"": 3}}"
decision-0-service-described-True,decision,"{""scenario"": ""0-service"", ""kind"": ""service"", ""mode"": ""described"", ""reverse"": true, ""label"": ""bring""}",3,3,1.0,3,0.9866666666666667,0.9733333333333333,383,32,295.58,"{""answer"": {""bring"": 3}}"
decision-0-service-check-True,decision,"{""scenario"": ""0-service"", ""kind"": ""service"", ""mode"": ""check"", ""reverse"": true, ""label"": ""bring""}",3,3,1.0,3,0.9866666666666667,0.9833333333333333,399,42,297.23,"{""answer"": {""yes"": 3}}"
decision-0-inspection-direct-False,decision,"{""scenario"": ""0-inspection"", ""kind"": ""inspection"", ""mode"": ""direct"", ""reverse"": false, ""label"": ""bring""}",3,3,1.0,3,0.9533333333333333,0.9033333333333333,362,32,333.23,"{""answer"": {""bring"": 3}}"
decision-0-inspection-described-False,decision,"{""scenario"": ""0-inspection"", ""kind"": ""inspection"", ""mode"": ""described"", ""reverse"": false, ""label"": ""bring""}",3,3,1.0,3,0.9666666666666667,0.9333333333333333,383,32,337.47,"{""answer"": {""bring"": 3}}"
decision-0-inspection-check-False,decision,"{""scenario"": ""0-inspection"", ""kind"": ""inspection"", ""mode"": ""check"", ""reverse"": false, ""label"": ""bring""}",3,3,1.0,3,0.97,0.9533333333333334,399,42,288.11,"{""answer"": {""yes"": 3}}"
decision-0-inspection-direct-True,decision,"{""scenario"": ""0-inspection"", ""kind"": ""inspection"", ""mode"": ""direct"", ""reverse"": true, ""label"": ""bring""}",3,3,1.0,3,0.93,0.86,362,32,304.8,"{""answer"": {""bring"": 3}}"
decision-0-inspection-described-True,decision,"{""scenario"": ""0-inspection"", ""kind"": ""inspection"", ""mode"": ""described"", ""reverse"": true, ""label"": ""bring""}",3,3,1.0,3,0.97,0.94,383,32,320.98,"{""answer"": {""bring"": 3}}"
