id,group,factors,requests,correct,accuracy,question_count,mean_target_probability,mean_confidence,input_tokens,output_tokens,latency_ms,selections
graph-8-0-yes,scrambled_logic,"{""depth"": 8, ""sample"": 0, ""label"": ""yes""}",3,3,1.0,3,0.9866666666666667,0.9833333333333333,681,42,325.5,"{""answer"": {""yes"": 3}}"
graph-8-0-no,scrambled_logic,"{""depth"": 8, ""sample"": 0, ""label"": ""no""}",3,3,1.0,3,0.8966666666666667,0.8433333333333333,683,42,320.49,"{""answer"": {""no"": 3}}"
graph-8-0-cannot_be_determined,scrambled_logic,"{""depth"": 8, ""sample"": 0, ""label"": ""cannot_be_determined""}",3,0,0.0,3,0.26,0.35,663,42,387.5,"{""answer"": {""no"": 3}}"
graph-8-1-yes,scrambled_logic,"{""depth"": 8, ""sample"": 1, ""label"": ""yes""}",3,3,1.0,3,1.0,0.99,681,42,316.8,"{""answer"": {""yes"": 3}}"
graph-8-1-no,scrambled_logic,"{""depth"": 8, ""sample"": 1, ""label"": ""no""}",3,3,1.0,3,0.94,0.9033333333333333,683,42,360.04,"{""answer"": {""no"": 3}}"
graph-8-1-cannot_be_determined,scrambled_logic,"{""depth"": 8, ""sample"": 1, ""label"": ""cannot_be_determined""}",3,0,0.0,3,0.01,0.9833333333333333,663,42,355.05,"{""answer"": {""yes"": 3}}"
graph-32-0-yes,scrambled_logic,"{""depth"": 32, ""sample"": 0, ""label"": ""yes""}",3,3,1.0,3,0.9566666666666667,0.94,1545,42,351.35,"{""answer"": {""yes"": 3}}"
graph-32-0-no,scrambled_logic,"{""depth"": 32, ""sample"": 0, ""label"": ""no""}",3,0,0.0,3,0.39,0.4033333333333333,1547,46,315.55,"{""answer"": {""cannot_be_determined"": 3}}"
graph-32-0-cannot_be_determined,scrambled_logic,"{""depth"": 32, ""sample"": 0, ""label"": ""cannot_be_determined""}",3,0,0.0,3,0.08333333333333333,0.78,1527,42,562.1,"{""answer"": {""yes"": 3}}"
graph-32-1-yes,scrambled_logic,"{""depth"": 32, ""sample"": 1, ""label"": ""yes""}",3,3,1.0,3,0.9566666666666667,0.94,1545,42,326.18,"{""answer"": {""yes"": 3}}"
