id,group,factors,requests,correct,accuracy,question_count,mean_target_probability,mean_confidence,input_tokens,output_tokens,latency_ms,selections
pipeline-6,pipeline,"{""scenario"": ""4-inspection"", ""kind"": ""inspection"", ""mode"": ""pipeline"", ""reverse"": true, ""label"": ""bring"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 6, ""source_case_id"": ""decision-4-inspection-check-True"", ""source_repetition"": 0, ""check_answer"": ""yes"", ""check_correct"": true}",1,1,1.0,1,1.0,0.99,404,32,330.91,"{""answer"": {""bring"": 1}}"
pipeline-10,pipeline,"{""scenario"": ""11-appointment"", ""kind"": ""appointment"", ""mode"": ""pipeline"", ""reverse"": false, ""label"": ""go_without"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 10, ""source_case_id"": ""decision-11-appointment-check-False"", ""source_repetition"": 0, ""check_answer"": ""no"", ""check_correct"": true}",1,1,1.0,1,1.0,1.0,418,33,350.18,"{""answer"": {""go_without"": 1}}"
pipeline-12,pipeline,"{""scenario"": ""2-appointment"", ""kind"": ""appointment"", ""mode"": ""pipeline"", ""reverse"": true, ""label"": ""go_without"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 12, ""source_case_id"": ""decision-2-appointment-check-True"", ""source_repetition"": 1, ""check_answer"": ""no"", ""check_correct"": true}",1,1,1.0,1,1.0,1.0,416,33,346.84,"{""answer"": {""go_without"": 1}}"
pipeline-14,pipeline,"{""scenario"": ""9-service"", ""kind"": ""service"", ""mode"": ""pipeline"", ""reverse"": true, ""label"": ""bring"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 14, ""source_case_id"": ""decision-9-service-check-True"", ""source_repetition"": 1, ""check_answer"": ""yes"", ""check_correct"": true}",1,1,1.0,1,0.99,0.98,403,32,288.8,"{""answer"": {""bring"": 1}}"
pipeline-20,pipeline,"{""scenario"": ""6-service"", ""kind"": ""service"", ""mode"": ""pipeline"", ""reverse"": false, ""label"": ""bring"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 20, ""source_case_id"": ""decision-6-service-check-False"", ""source_repetition"": 0, ""check_answer"": ""yes"", ""check_correct"": true}",1,1,1.0,1,0.98,0.97,404,32,399.58,"{""answer"": {""bring"": 1}}"
pipeline-24,pipeline,"{""scenario"": ""0-inspection"", ""kind"": ""inspection"", ""mode"": ""pipeline"", ""reverse"": true, ""label"": ""bring"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 24, ""source_case_id"": ""decision-0-inspection-check-True"", ""source_repetition"": 1, ""check_answer"": ""yes"", ""check_correct"": true}",1,1,1.0,1,0.99,0.98,402,32,320.54,"{""answer"": {""bring"": 1}}"
pipeline-26,pipeline,"{""scenario"": ""1-appointment"", ""kind"": ""appointment"", ""mode"": ""pipeline"", ""reverse"": true, ""label"": ""go_without"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 26, ""source_case_id"": ""decision-1-appointment-check-True"", ""source_repetition"": 1, ""check_answer"": ""no"", ""check_correct"": true}",1,1,1.0,1,1.0,1.0,416,33,344.56,"{""answer"": {""go_without"": 1}}"
pipeline-29,pipeline,"{""scenario"": ""2-collection"", ""kind"": ""collection"", ""mode"": ""pipeline"", ""reverse"": true, ""label"": ""go_without"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 29, ""source_case_id"": ""decision-2-collection-check-True"", ""source_repetition"": 1, ""check_answer"": ""no"", ""check_correct"": true}",1,1,1.0,1,1.0,1.0,401,33,340.0,"{""answer"": {""go_without"": 1}}"
pipeline-33,pipeline,"{""scenario"": ""11-appointment"", ""kind"": ""appointment"", ""mode"": ""pipeline"", ""reverse"": false, ""label"": ""go_without"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 33, ""source_case_id"": ""decision-11-appointment-check-False"", ""source_repetition"": 2, ""check_answer"": ""no"", ""check_correct"": true}",1,1,1.0,1,1.0,1.0,418,33,281.92,"{""answer"": {""go_without"": 1}}"
pipeline-34,pipeline,"{""scenario"": ""7-service"", ""kind"": ""service"", ""mode"": ""pipeline"", ""reverse"": true, ""label"": ""bring"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 34, ""source_case_id"": ""decision-7-service-check-True"", ""source_repetition"": 1, ""check_answer"": ""yes"", ""check_correct"": true}",1,1,1.0,1,0.97,0.94,402,32,320.46,"{""answer"": {""bring"": 1}}"
pipeline-43,pipeline,"{""scenario"": ""0-appointment"", ""kind"": ""appointment"", ""mode"": ""pipeline"", ""reverse"": false, ""label"": ""go_without"", ""source_run"": ""20260916T124604860296Z-limits-study"", ""source_trial"": 43, ""source_case_id"": ""decision-0-appointment-check-False"", ""source_repetition"": 0, ""check_answer"": ""no"", ""check_correct"": true}",1,1,1.0,1,1.0,1.0,416,33,281.51,"{""answer"": {""go_without"": 1}}"
