case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
decision-9-inspection-direct-True,decision,1,answer,bring,bring,True,0.97,0.99,0.99,0.0002000000000000002
decision-3-collection-described-False,decision,2,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
decision-3-inspection-direct-False,decision,3,answer,bring,bring,True,0.92,0.96,0.96,0.003200000000000003
permutation-5-16,permutation,4,answer,v0,v0,True,0.17,0.39,0.39,0.5206
records-128-middle-1,competing_records,5,answer,red,red,True,1.0,1.0,1.0,0.0
decision-4-inspection-check-True,decision,6,answer,yes,yes,True,0.97,0.99,0.99,0.0002000000000000002
decision-11-collection-direct-False,decision,7,answer,go_without,go_without,True,0.99,1.0,1.0,0.0
logic-2-2-yes,logic_depth,8,answer,yes,yes,True,1.0,1.0,1.0,0.0
decision-11-collection-direct-False,decision,9,answer,go_without,go_without,True,0.99,1.0,1.0,0.0
decision-11-appointment-check-False,decision,10,answer,no,no,True,1.0,1.0,1.0,0.0
logic-32-1-cannot_be_determined,logic_depth,11,answer,cannot_be_determined,cannot_be_determined,True,0.94,0.96,0.96,0.003200000000000003
decision-2-appointment-check-True,decision,12,answer,no,no,True,1.0,1.0,1.0,0.0
logic-4-1-cannot_be_determined,logic_depth,13,answer,cannot_be_determined,cannot_be_determined,True,0.98,0.99,0.99,0.0002000000000000002
decision-9-service-check-True,decision,14,answer,yes,yes,True,0.99,1.0,1.0,0.0
decision-5-inspection-described-True,decision,15,answer,bring,bring,True,0.99,1.0,1.0,0.0
decision-10-appointment-direct-True,decision,16,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
permutation-4-7,permutation,17,answer,v0,v0,True,0.26,0.44,0.44,0.46420000000000006
decision-0-appointment-described-False,decision,18,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
permutation-2-3,permutation,19,answer,v0,v0,True,0.13,0.35,0.35,0.5844
decision-6-service-check-False,decision,20,answer,yes,yes,True,0.87,0.91,0.91,0.012199999999999996
records-0-middle-2,competing_records,21,answer,blue,blue,True,1.0,1.0,1.0,0.0
permutation-3-11,permutation,22,answer,v0,v3,False,0.19,0.28,0.39,0.7514
decision-10-appointment-described-False,decision,23,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
decision-0-inspection-check-True,decision,24,answer,yes,yes,True,0.93,0.95,0.95,0.0038000000000000043
permutation-1-3,permutation,25,answer,v0,v0,True,0.51,0.63,0.63,0.1978
decision-1-appointment-check-True,decision,26,answer,no,no,True,1.0,1.0,1.0,0.0
permutation-1-4,permutation,27,answer,v0,v0,True,0.62,0.71,0.71,0.11740000000000002
permutation-5-0,permutation,28,answer,v0,v3,False,0.21,0.38,0.41,0.5786
decision-2-collection-check-True,decision,29,answer,no,no,True,1.0,1.0,1.0,0.0
permutation-0-10,permutation,30,answer,v0,v0,True,0.63,0.73,0.73,0.10260000000000001
records-16-end-0,competing_records,31,answer,yellow,yellow,True,1.0,1.0,1.0,0.0
permutation-1-3,permutation,32,answer,v0,v0,True,0.45,0.58,0.58,0.25860000000000005
decision-11-appointment-check-False,decision,33,answer,no,no,True,1.0,1.0,1.0,0.0
decision-7-service-check-True,decision,34,answer,yes,yes,True,0.94,0.96,0.96,0.002600000000000003
logic-1-0-no,logic_depth,35,answer,no,no,True,1.0,1.0,1.0,0.0
records-16-middle-1,competing_records,36,answer,red,red,True,1.0,1.0,1.0,0.0
logic-32-0-yes,logic_depth,37,answer,yes,yes,True,1.0,1.0,1.0,0.0
tracking-16-0,multi_tracking,38,answer,office,office,True,0.95,0.97,0.97,0.0018000000000000017
permutation-5-21,permutation,39,answer,v0,v3,False,0.47,0.15,0.59,1.1141999999999999
records-16-middle-1,competing_records,40,answer,red,red,True,1.0,1.0,1.0,0.0
decision-7-collection-direct-False,decision,41,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
logic-4-0-no,logic_depth,42,answer,no,no,True,0.97,0.98,0.98,0.0008000000000000008
decision-0-appointment-check-False,decision,43,answer,no,no,True,1.0,1.0,1.0,0.0
logic-4-0-cannot_be_determined,logic_depth,44,answer,cannot_be_determined,cannot_be_determined,True,0.97,0.98,0.98,0.0008000000000000008
decision-1-service-described-True,decision,45,answer,bring,bring,True,0.98,0.99,0.99,0.0002000000000000002
permutation-3-21,permutation,46,answer,v0,v3,False,0.36,0.21,0.53,0.9486000000000001
decision-6-service-described-True,decision,47,answer,bring,bring,True,0.95,0.97,0.97,0.0018000000000000017
logic-16-2-cannot_be_determined,logic_depth,48,answer,cannot_be_determined,cannot_be_determined,True,0.81,0.88,0.88,0.0266
permutation-1-5,permutation,49,answer,v0,v0,True,0.66,0.74,0.74,0.0966
decision-5-appointment-direct-False,decision,50,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
logic-16-2-yes,logic_depth,51,answer,yes,yes,True,1.0,1.0,1.0,0.0
permutation-2-1,permutation,52,answer,v0,v3,False,0.21,0.33,0.4,0.6477999999999999
records-0-start-0,competing_records,53,answer,yellow,yellow,True,1.0,1.0,1.0,0.0
permutation-5-16,permutation,54,answer,v0,v0,True,0.31,0.49,0.49,0.3582
tracking-2-1,multi_tracking,55,answer,office,office,True,1.0,1.0,1.0,0.0
permutation-5-8,permutation,56,answer,v0,v3,False,0.37,0.25,0.52,0.8654000000000001
decision-3-service-direct-True,decision,57,answer,bring,bring,True,0.92,0.96,0.96,0.003200000000000003
decision-7-collection-described-False,decision,58,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
permutation-1-11,permutation,59,answer,v0,v0,True,0.64,0.74,0.74,0.09460000000000002
decision-3-collection-described-False,decision,60,answer,go_without,go_without,True,1.0,1.0,1.0,0.0
decision-10-collection-check-True,decision,61,answer,no,no,True,1.0,1.0,1.0,0.0
logic-4-2-no,logic_depth,62,answer,no,no,True,0.95,0.96,0.96,0.003200000000000003
permutation-3-23,permutation,63,answer,v0,v3,False,0.28,0.32,0.46,0.7031999999999999
logic-16-0-yes,logic_depth,64,answer,yes,yes,True,1.0,1.0,1.0,0.0
records-128-start-2,competing_records,65,answer,blue,blue,True,1.0,1.0,1.0,0.0
permutation-2-17,permutation,66,answer,v0,v0,True,0.19,0.4,0.4,0.5096
decision-5-service-described-False,decision,67,answer,bring,bring,True,0.98,0.99,0.99,0.0002000000000000002
decision-3-service-check-True,decision,68,answer,yes,yes,True,0.88,0.92,0.92,0.009799999999999994
