run,question,decision,valid,choice,input_tokens,output_tokens,latency_ms,observation_age_s
destination-direct-paused,steering,0,True,straight,854,55,354.83,0
destination-direct-paused,pedals,0,True,accelerate,841,45,350.76,0
destination-direct-paused,steering,1,True,straight,923,55,255.11,0
destination-direct-paused,pedals,1,True,accelerate,910,45,273.36,0
destination-direct-paused,steering,2,True,straight,923,55,297.18,0
destination-direct-paused,pedals,2,True,accelerate,910,45,272.45,0
destination-direct-paused,steering,3,True,straight,905,55,264.74,0
destination-direct-paused,pedals,3,True,accelerate,892,45,346.37,0
destination-direct-paused,steering,4,True,straight,1000,55,341.7,0
destination-direct-paused,pedals,4,True,accelerate,987,45,308.78,0
destination-direct-paused,steering,5,True,straight,986,55,307.39,0
destination-direct-paused,pedals,5,True,accelerate,973,45,319.85,0
destination-direct-paused,steering,6,True,straight,987,55,280.84,0
destination-direct-paused,pedals,6,True,accelerate,974,45,846.74,0
destination-direct-paused,steering,7,True,straight,990,55,355.2,0
destination-direct-paused,pedals,7,True,accelerate,977,45,346.99,0
destination-direct-paused,steering,8,True,straight,1001,55,292.45,0
destination-direct-paused,pedals,8,True,accelerate,988,45,373.88,0
destination-direct-paused,steering,9,True,straight,986,55,267.29,0
destination-direct-paused,pedals,9,True,accelerate,973,45,327.8,0
destination-direct-paused,steering,10,True,straight,988,55,263.65,0
destination-direct-paused,pedals,10,True,accelerate,975,45,320.36,0
destination-direct-paused,steering,11,True,straight,1002,55,262.77,0
destination-direct-paused,pedals,11,True,accelerate,989,45,298.88,0
destination-direct-paused,steering,12,True,straight,989,55,336.38,0
destination-direct-paused,pedals,12,True,accelerate,976,45,276.91,0
destination-direct-paused,steering,13,True,straight,1001,55,367.45,0
destination-direct-paused,pedals,13,True,brake,988,44,331.48,0
destination-direct-paused,steering,14,True,straight,988,55,275.25,0
destination-direct-paused,pedals,14,True,brake,975,44,285.47,0
destination-direct-paused,steering,15,True,straight,989,55,252.3,0
destination-direct-paused,pedals,15,True,brake,976,44,289.96,0
destination-direct-paused,steering,16,True,straight,973,55,287.59,0
destination-direct-paused,pedals,16,True,accelerate,960,45,277.88,0
destination-direct-paused,steering,17,True,straight,991,55,291.15,0
destination-direct-paused,pedals,17,True,brake,978,44,250.21,0
destination-direct-paused,steering,18,True,straight,957,55,578.52,0
destination-direct-paused,pedals,18,True,brake,944,44,290.9,0
destination-direct-paused,steering,19,True,straight,957,55,266.17,0
destination-direct-paused,pedals,19,True,brake,944,44,283.03,0
destination-direct-paused,steering,20,True,straight,956,55,335.14,0
destination-direct-paused,pedals,20,True,brake,943,44,325.69,0
destination-direct-paused,steering,21,True,straight,971,55,501.98,0
destination-direct-paused,pedals,21,True,brake,958,44,285.81,0
destination-direct-paused,steering,22,True,straight,887,55,324.09,0
destination-direct-paused,pedals,22,True,brake,874,44,303.97,0
destination-direct-paused,steering,23,True,straight,873,55,312.87,0
destination-direct-paused,pedals,23,True,brake,860,44,258.8,0
destination-direct-paused,steering,24,True,straight,874,55,305.45,0
destination-direct-paused,pedals,24,True,brake,861,44,297.59,0
destination-direct-paused,steering,25,True,straight,873,55,394.38,0
destination-direct-paused,pedals,25,True,brake,860,44,403.52,0
destination-direct-paused,steering,26,True,straight,888,55,286.3,0
destination-direct-paused,pedals,26,True,brake,875,44,300.24,0
destination-direct-paused,steering,27,True,straight,874,55,321.65,0
destination-direct-paused,pedals,27,True,brake,861,44,342.67,0
destination-direct-paused,steering,28,True,straight,875,55,307.83,0
destination-direct-paused,pedals,28,True,brake,862,44,314.71,0
destination-direct-paused,steering,29,True,straight,888,55,287.62,0
destination-direct-paused,pedals,29,True,brake,875,44,329.97,0
destination-direct-paused,steering,30,True,straight,874,55,303.33,0
destination-direct-paused,pedals,30,True,brake,861,44,345.99,0
destination-direct-paused,steering,31,True,straight,875,55,385.58,0
destination-direct-paused,pedals,31,True,brake,862,44,338.91,0
destination-direct-paused,steering,32,True,straight,890,55,395.34,0
destination-direct-paused,pedals,32,True,brake,877,44,291.06,0
destination-direct-paused,steering,33,True,straight,875,55,331.13,0
destination-direct-paused,pedals,33,True,brake,862,44,354.81,0
destination-direct-paused,steering,34,True,straight,890,55,328.28,0
destination-direct-paused,pedals,34,True,brake,877,44,345.59,0
destination-direct-paused,steering,35,True,straight,875,55,325.67,0
destination-direct-paused,pedals,35,True,brake,862,44,283.07,0
destination-direct-paused,steering,36,True,straight,877,55,348.41,0
destination-direct-paused,pedals,36,True,brake,864,44,280.51,0
