id,group,factors,requests,correct,accuracy,question_count,mean_target_probability,mean_confidence,input_tokens,output_tokens,latency_ms,selections
described-wash-0,described_transfer,"{""scenario"": ""wash"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,0.653,0.305,356,31,284.20500000000004,"{""answer"": {""drive"": 10}}"
described-wash-1,described_transfer,"{""scenario"": ""wash"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,0.805,0.606,356,31,314.935,"{""answer"": {""drive"": 10}}"
described-tires-0,described_transfer,"{""scenario"": ""tires"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,0.695,0.39,358,31,302.855,"{""answer"": {""drive"": 10}}"
described-tires-1,described_transfer,"{""scenario"": ""tires"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,0.701,0.399,358,31,298.215,"{""answer"": {""drive"": 10}}"
described-inspection-0,described_transfer,"{""scenario"": ""inspection"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,0.615,0.232,358,31,308.665,"{""answer"": {""drive"": 10}}"
described-inspection-1,described_transfer,"{""scenario"": ""inspection"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,0.76,0.519,358,31,306.2,"{""answer"": {""drive"": 10}}"
described-oil-0,described_transfer,"{""scenario"": ""oil"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,0.757,0.517,358,31,289.31,"{""answer"": {""drive"": 10}}"
described-oil-1,described_transfer,"{""scenario"": ""oil"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,0.84,0.679,358,31,290.43499999999995,"{""answer"": {""drive"": 10}}"
described-weigh-0,described_transfer,"{""scenario"": ""weigh"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,0.731,0.46099999999999997,359,31,335.5,"{""answer"": {""drive"": 10}}"
described-weigh-1,described_transfer,"{""scenario"": ""weigh"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,0.851,0.707,359,31,282.72,"{""answer"": {""drive"": 10}}"
described-trade-0,described_transfer,"{""scenario"": ""trade"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": false}",10,4,0.4,10,0.486,0.058,360,31,311.20000000000005,"{""answer"": {""walk"": 6, ""drive"": 4}}"
described-trade-1,described_transfer,"{""scenario"": ""trade"", ""label"": ""drive"", ""cohort"": ""reused"", ""reverse"": true}",10,1,0.1,10,0.442,0.122,360,31,301.725,"{""answer"": {""walk"": 9, ""drive"": 1}}"
described-pickup-0,described_transfer,"{""scenario"": ""pickup"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,0.985,0.969,363,31,302.58500000000004,"{""answer"": {""walk"": 10}}"
described-pickup-1,described_transfer,"{""scenario"": ""pickup"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,0.983,0.966,363,31,283.85,"{""answer"": {""walk"": 10}}"
described-job-0,described_transfer,"{""scenario"": ""job"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,1.0,1.0,358,31,303.185,"{""answer"": {""walk"": 10}}"
described-job-1,described_transfer,"{""scenario"": ""job"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,1.0,1.0,358,31,311.70500000000004,"{""answer"": {""walk"": 10}}"
described-receipt-0,described_transfer,"{""scenario"": ""receipt"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,1.0,1.0,371,31,291.675,"{""answer"": {""walk"": 10}}"
described-receipt-1,described_transfer,"{""scenario"": ""receipt"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,1.0,1.0,371,31,307.6,"{""answer"": {""walk"": 10}}"
described-supplies-0,described_transfer,"{""scenario"": ""supplies"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,1.0,1.0,362,31,298.6,"{""answer"": {""walk"": 10}}"
described-supplies-1,described_transfer,"{""scenario"": ""supplies"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,1.0,1.0,362,31,311.40999999999997,"{""answer"": {""walk"": 10}}"
described-refund-0,described_transfer,"{""scenario"": ""refund"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,1.0,1.0,363,31,312.065,"{""answer"": {""walk"": 10}}"
described-refund-1,described_transfer,"{""scenario"": ""refund"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,1.0,1.0,363,31,309.78499999999997,"{""answer"": {""walk"": 10}}"
described-mobile-0,described_transfer,"{""scenario"": ""mobile"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": false}",10,10,1.0,10,1.0,1.0,371,31,286.23,"{""answer"": {""walk"": 10}}"
described-mobile-1,described_transfer,"{""scenario"": ""mobile"", ""label"": ""walk"", ""cohort"": ""reused"", ""reverse"": true}",10,10,1.0,10,1.0,1.0,371,31,288.23,"{""answer"": {""walk"": 10}}"
described-brakes-0,described_transfer,"{""scenario"": ""brakes"", ""label"": ""drive"", ""cohort"": ""new"", ""reverse"": false}",10,10,1.0,10,0.82,0.64,364,31,295.485,"{""answer"": {""drive"": 10}}"
described-brakes-1,described_transfer,"{""scenario"": ""brakes"", ""label"": ""drive"", ""cohort"": ""new"", ""reverse"": true}",10,10,1.0,10,0.889,0.781,364,31,304.945,"{""answer"": {""drive"": 10}}"
described-alignment-0,described_transfer,"{""scenario"": ""alignment"", ""label"": ""drive"", ""cohort"": ""new"", ""reverse"": false}",10,10,1.0,10,0.573,0.147,363,31,293.975,"{""answer"": {""drive"": 10}}"
described-alignment-1,described_transfer,"{""scenario"": ""alignment"", ""label"": ""drive"", ""cohort"": ""new"", ""reverse"": true}",10,10,1.0,10,0.643,0.286,363,31,276.56,"{""answer"": {""drive"": 10}}"
