trial,case_id,family,mode,expected,choice,correct,score_eligible,confidence,input_tokens,output_tokens
1,exact_count-4-True-explicit,exact_count,explicit,3,3,True,True,0.54,445,80
2,exact_count-4-False-explicit,exact_count,explicit,3,2,False,True,0.74,437,80
3,conditional_truth-4-0-explicit,conditional_truth,explicit,no,no,True,True,1.0,419,42
4,conditional_truth-7-1-reversed,conditional_truth,reversed,cannot_be_determined,cannot_be_determined,True,True,1.0,394,46
5,conditional_truth-3-1-reversed,conditional_truth,reversed,cannot_be_determined,cannot_be_determined,True,True,1.0,394,46
6,conditional_truth-4-4-plain,conditional_truth,plain,no,no,True,True,1.0,394,42
7,conditional_truth-6-7-plain,conditional_truth,plain,yes,yes,True,True,1.0,399,42
8,conditional_truth-3-3-plain,conditional_truth,plain,yes,yes,True,True,1.0,393,42
9,conditional_truth-6-7-reversed,conditional_truth,reversed,yes,yes,True,True,0.99,399,42
10,multistep_math-4-False-reversed,multistep_math,reversed,640,640,True,True,0.65,375,53
11,conditional_truth-0-3-explicit,conditional_truth,explicit,yes,yes,True,True,1.0,418,42
12,exact_count-2-False-explicit,exact_count,explicit,3,2,False,True,0.85,437,80
13,conditional_truth-5-3-explicit,conditional_truth,explicit,yes,yes,True,True,1.0,418,42
14,conditional_truth-0-5-explicit,conditional_truth,explicit,no,no,True,True,1.0,419,42
15,conditional_truth-4-6-plain,conditional_truth,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,393,46
16,conditional_truth-1-0-reversed,conditional_truth,reversed,no,no,True,True,1.0,394,42
17,conditional_truth-6-6-plain,conditional_truth,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,397,46
18,conditional_truth-6-3-plain,conditional_truth,plain,yes,yes,True,True,1.0,397,42
19,exact_count-9-True-reversed,exact_count,reversed,4,4,True,True,0.94,418,80
20,long_tracking-12-1-reversed,long_tracking,reversed,hall,hall,True,True,1.0,519,47
21,exact_count-4-False-reversed,exact_count,reversed,3,2,False,True,0.56,412,80
22,multistep_math-0-True-plain,multistep_math,plain,21,17,False,True,0.43,391,49
23,conditional_truth-5-2-explicit,conditional_truth,explicit,yes,yes,True,True,1.0,418,42
24,multistep_math-2-True-plain,multistep_math,plain,97,97,True,True,0.44,397,51
25,conditional_truth-3-0-explicit,conditional_truth,explicit,no,no,True,True,1.0,419,42
26,conditional_truth-6-0-explicit,conditional_truth,explicit,no,no,True,True,1.0,421,42
27,conditional_truth-4-1-plain,conditional_truth,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,394,46
28,conditional_truth-2-7-explicit,conditional_truth,explicit,yes,yes,True,True,0.99,418,42
29,conditional_truth-2-1-plain,conditional_truth,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,394,46
30,conditional_truth-5-4-plain,conditional_truth,plain,no,no,True,True,0.99,394,42
31,conditional_truth-0-6-explicit,conditional_truth,explicit,cannot_be_determined,cannot_be_determined,True,True,1.0,418,46
32,exact_count-2-False-plain,exact_count,plain,3,2,False,True,0.82,412,80
33,long_tracking-32-1-reversed,long_tracking,reversed,hall,hall,True,True,1.0,825,47
34,conditional_truth-1-7-plain,conditional_truth,plain,yes,yes,True,True,1.0,393,42
35,conditional_truth-5-6-reversed,conditional_truth,reversed,cannot_be_determined,cannot_be_determined,True,True,1.0,393,46
36,conditional_truth-1-6-plain,conditional_truth,plain,cannot_be_determined,cannot_be_determined,True,True,1.0,393,46
37,conditional_truth-7-2-explicit,conditional_truth,explicit,yes,yes,True,True,1.0,418,42
38,conditional_truth-5-5-reversed,conditional_truth,reversed,no,no,True,True,1.0,394,42
39,conditional_truth-0-7-plain,conditional_truth,plain,yes,yes,True,True,0.99,393,42
40,exact_count-3-False-reversed,exact_count,reversed,3,3,True,True,0.61,413,80
41,exact_count-6-True-plain,exact_count,plain,4,5,False,True,0.79,416,80
42,conditional_truth-3-3-reversed,conditional_truth,reversed,yes,yes,True,True,1.0,393,42
43,long_tracking-4-1-explicit,long_tracking,explicit,kitchen,kitchen,True,True,1.0,425,48
44,multistep_math-0-False-reversed,multistep_math,reversed,21,21,True,True,0.79,365,49
