case_id,group,trial,question,expected,choice,correct,confidence,target_probability,top_probability,brier
dispersed-1024-start-1,dispersed_records,1,answer,red,red,True,0.99,0.99,0.99,0.0002000000000000002
graph-32-0-cannot_be_determined,scrambled_logic,2,answer,cannot_be_determined,yes,False,0.81,0.07,0.87,1.6254
dispersed-128-end-0,dispersed_records,3,answer,yellow,yellow,True,1.0,1.0,1.0,0.0
dispersed-512-end-1,dispersed_records,4,answer,red,red,True,1.0,1.0,1.0,0.0
dispersed-128-start-1,dispersed_records,5,answer,red,red,True,1.0,1.0,1.0,0.0
dispersed-128-middle-0,dispersed_records,6,answer,yellow,yellow,True,0.79,0.85,0.85,0.04220000000000001
graph-32-1-yes,scrambled_logic,7,answer,yes,yes,True,0.95,0.97,0.97,0.0014000000000000017
dispersed-1024-start-0,dispersed_records,8,answer,yellow,yellow,True,0.98,0.99,0.99,0.0002000000000000002
carry-32-0,carry_tracking,9,answer,garden,garden,True,0.89,0.92,0.92,0.009799999999999994
dispersed-512-middle-0,dispersed_records,10,answer,yellow,green,False,0.54,0.33,0.65,0.8715999999999999
graph-8-1-yes,scrambled_logic,11,answer,yes,yes,True,0.99,1.0,1.0,0.0
graph-32-0-yes,scrambled_logic,12,answer,yes,yes,True,0.94,0.96,0.96,0.002400000000000003
graph-128-0-cannot_be_determined,scrambled_logic,13,answer,cannot_be_determined,yes,False,0.7,0.11,0.81,1.4546000000000001
dispersed-512-middle-1,dispersed_records,14,answer,red,yellow,False,0.61,0.27,0.72,1.0514
carry-16-0,carry_tracking,15,answer,office,office,True,0.89,0.92,0.92,0.011399999999999993
dispersed-512-start-0,dispersed_records,16,answer,yellow,yellow,True,0.99,1.0,1.0,0.0
dispersed-512-end-0,dispersed_records,17,answer,yellow,yellow,True,1.0,1.0,1.0,0.0
graph-32-1-yes,scrambled_logic,18,answer,yes,yes,True,0.94,0.95,0.95,0.0038000000000000043
dispersed-1024-start-0,dispersed_records,19,answer,yellow,yellow,True,0.98,0.98,0.98,0.0008000000000000008
dispersed-128-middle-0,dispersed_records,20,answer,yellow,yellow,True,0.89,0.91,0.91,0.014599999999999995
dispersed-512-middle-1,dispersed_records,21,answer,red,yellow,False,0.48,0.38,0.61,0.7566
graph-32-0-cannot_be_determined,scrambled_logic,22,answer,cannot_be_determined,yes,False,0.76,0.09,0.84,1.5386
carry-8-0,carry_tracking,23,answer,kitchen,kitchen,True,0.66,0.75,0.75,0.10819999999999999
graph-32-0-yes,scrambled_logic,24,answer,yes,yes,True,0.93,0.95,0.95,0.0038000000000000043
carry-8-0,carry_tracking,25,answer,kitchen,kitchen,True,0.68,0.76,0.76,0.0902
carry-16-0,carry_tracking,26,answer,office,office,True,0.82,0.87,0.87,0.031400000000000004
graph-128-1-cannot_be_determined,scrambled_logic,27,answer,cannot_be_determined,yes,False,0.72,0.11,0.81,1.4546000000000001
graph-32-1-cannot_be_determined,scrambled_logic,28,answer,cannot_be_determined,yes,False,0.93,0.03,0.96,1.8626
graph-128-0-cannot_be_determined,scrambled_logic,29,answer,cannot_be_determined,yes,False,0.72,0.11,0.8099999999999999,1.4546
dispersed-128-start-0,dispersed_records,30,answer,yellow,yellow,True,1.0,1.0,1.0,0.0
graph-8-1-yes,scrambled_logic,31,answer,yes,yes,True,0.99,1.0,1.0,0.0
