episode,profile,move,input_tokens,output_tokens,latency_ms,planner_ms,proposal,action,overridden,shortest
unassisted-1007,unassisted,1,587,38,398.87,0.88,straight,straight,False,True
unassisted-1007,unassisted,2,587,38,316.98,0.83,straight,straight,False,True
unassisted-1007,unassisted,3,587,38,777.35,0.45,straight,straight,False,True
unassisted-1007,unassisted,4,587,38,296.31,0.08,straight,straight,False,True
unassisted-1007,unassisted,5,587,38,275.32,0.05,straight,straight,False,True
unassisted-1007,unassisted,6,587,38,309.53,0.04,straight,straight,False,True
unassisted-1007,unassisted,7,587,38,342.11,0.05,right,right,False,True
unassisted-1007,unassisted,8,587,38,342.36,0.03,straight,straight,False,True
unassisted-1007,unassisted,9,593,38,278.27,0.67,straight,straight,False,False
unassisted-1007,unassisted,10,594,38,311.59,0.66,straight,straight,False,False
unassisted-1007,unassisted,11,598,38,284.3,0.68,straight,straight,False,False
unassisted-1007,unassisted,12,599,38,273.63,0.6,right,right,False,True
unassisted-1007,unassisted,13,600,38,278.31,0.71,straight,straight,False,True
unassisted-1007,unassisted,14,601,38,301.26,6.95,straight,straight,False,True
unassisted-1007,unassisted,15,601,38,287.99,0.24,right,right,False,True
unassisted-1007,unassisted,16,600,38,306.17,0.82,straight,straight,False,True
unassisted-1007,unassisted,17,597,38,311.16,0.64,straight,straight,False,True
unassisted-1007,unassisted,18,596,38,303.25,1.16,straight,straight,False,True
unassisted-1007,unassisted,19,596,38,312.42,0.85,straight,straight,False,True
unassisted-1007,unassisted,20,595,38,357.48,0.31,straight,straight,False,True
unassisted-1007,unassisted,21,595,38,357.04,0.19,straight,straight,False,True
unassisted-1007,unassisted,22,595,38,336.84,0.13,straight,straight,False,True
unassisted-1007,unassisted,23,595,38,392.2,0.17,straight,straight,False,True
unassisted-1007,unassisted,24,595,38,317.76,0.12,straight,straight,False,True
unassisted-1007,unassisted,25,595,38,300.74,0.08,straight,straight,False,True
unassisted-1007,unassisted,26,595,38,367.66,0.07,left,left,False,True
unassisted-1007,unassisted,27,600,38,373.05,0.07,left,left,False,False
unassisted-1007,unassisted,28,600,38,281.8,0.56,right,right,False,True
unassisted-1007,unassisted,29,600,38,443.23,0.18,straight,straight,False,True
unassisted-1007,unassisted,30,600,38,425.15,0.07,right,right,False,True
unassisted-1007,unassisted,31,600,38,479.93,0.06,left,left,False,True
unassisted-1007,unassisted,32,606,38,448.62,32.96,straight,straight,False,False
unassisted-1007,unassisted,33,606,38,405.76,13.86,straight,straight,False,False
unassisted-1007,unassisted,34,607,38,409.01,15.92,straight,straight,False,False
unassisted-1007,unassisted,35,610,38,418.87,29.34,straight,straight,False,False
unassisted-1007,unassisted,36,611,38,304.01,27.89,left,left,False,True
unassisted-1007,unassisted,37,612,38,366.98,22.72,left,left,False,True
unassisted-1007,unassisted,38,612,38,308.98,12.55,right,right,False,True
unassisted-1007,unassisted,39,613,38,320.49,15.03,straight,straight,False,True
unassisted-1007,unassisted,40,614,38,313.69,12.95,straight,straight,False,True
unassisted-1007,unassisted,41,614,38,343.33,21.58,straight,straight,False,True
unassisted-1007,unassisted,42,615,38,325.5,6.32,straight,straight,False,True
unassisted-1007,unassisted,43,615,38,335.76,2.66,straight,straight,False,True
unassisted-1007,unassisted,44,615,38,327.93,0.78,straight,straight,False,True
unassisted-1007,unassisted,45,615,38,364.64,0.58,straight,straight,False,True
unassisted-1007,unassisted,46,616,38,363.4,0.63,left,left,False,True
unassisted-1007,unassisted,47,613,38,341.55,0.49,straight,straight,False,True
unassisted-1007,unassisted,48,612,38,301.8,0.44,straight,straight,False,True
unassisted-1007,unassisted,49,611,38,336.02,0.74,left,left,False,False
unassisted-1007,unassisted,50,609,38,335.51,1.08,straight,straight,False,False
unassisted-1007,unassisted,51,608,38,682.96,0.33,straight,straight,False,False
unassisted-1007,unassisted,52,607,38,343.78,1.27,straight,straight,False,False
unassisted-1007,unassisted,53,607,38,450.31,2.19,straight,straight,False,False
unassisted-1007,unassisted,54,607,38,437.92,3.15,right,right,False,True
unassisted-1007,unassisted,55,607,38,471.55,0.84,straight,straight,False,True
unassisted-1007,unassisted,56,607,38,470.2,0.76,straight,straight,False,True
unassisted-1007,unassisted,57,607,38,428.8,0.26,straight,straight,False,True
unassisted-1007,unassisted,58,607,38,543.97,0.63,straight,straight,False,False
unassisted-1007,unassisted,59,607,38,561.23,0.78,straight,straight,False,False
unassisted-1007,unassisted,60,607,38,463.01,0.81,straight,straight,False,False
unassisted-1007,unassisted,61,607,38,450.51,0.65,right,right,False,True
unassisted-1007,unassisted,62,607,38,456.68,0.41,straight,straight,False,True
unassisted-1007,unassisted,63,607,38,386.6,0.45,straight,straight,False,True
unassisted-1007,unassisted,64,607,38,404.67,0.24,straight,straight,False,True
unassisted-1007,unassisted,65,607,38,436.56,0.12,straight,straight,False,True
unassisted-1007,unassisted,66,608,38,380.6,0.14,right,right,False,True
unassisted-1007,unassisted,67,608,38,560.64,0.1,straight,straight,False,True
unassisted-1007,unassisted,68,608,38,433.57,0.08,straight,straight,False,True
unassisted-1007,unassisted,69,613,38,458.86,0.78,right,right,False,True
unassisted-1007,unassisted,70,612,38,466.26,0.62,right,right,False,False
unassisted-1007,unassisted,71,612,38,519.91,0.8,straight,straight,False,False
unassisted-1007,unassisted,72,612,38,468.88,0.84,straight,straight,False,False
unassisted-1007,unassisted,73,612,38,425.7,2.17,left,left,False,True
unassisted-1007,unassisted,74,612,38,581.06,2.44,straight,straight,False,True
unassisted-1007,unassisted,75,612,38,403.26,0.81,straight,straight,False,True
unassisted-1007,unassisted,76,612,38,440.38,0.29,straight,straight,False,True
unassisted-1007,unassisted,77,612,38,412.05,0.36,straight,straight,False,False
unassisted-1007,unassisted,78,612,38,404.49,0.5,left,left,False,True
unassisted-1007,unassisted,79,613,38,530.23,0.48,left,left,False,True
unassisted-1007,unassisted,80,613,38,419.88,0.29,straight,straight,False,False
unassisted-1007,unassisted,81,613,38,455.94,0.28,straight,straight,False,False
unassisted-1007,unassisted,82,613,38,417.04,0.53,straight,straight,False,False
unassisted-1007,unassisted,83,613,38,576.43,0.51,straight,straight,False,False
unassisted-1007,unassisted,84,613,38,419.97,1.69,straight,straight,False,False
unassisted-1007,unassisted,85,614,38,384.32,3.12,straight,straight,False,False
unassisted-1007,unassisted,86,617,38,402.71,3.42,straight,straight,False,False
unassisted-1007,unassisted,87,618,38,579.26,2.9,straight,straight,False,False
unassisted-1003,unassisted,1,589,38,343.61,1.26,straight,straight,False,False
unassisted-1003,unassisted,2,589,38,337.26,1.36,straight,straight,False,False
unassisted-1003,unassisted,3,589,38,743.98,1.38,straight,straight,False,False
unassisted-1003,unassisted,4,589,38,312.43,0.62,straight,straight,False,False
unassisted-1003,unassisted,5,589,38,262.25,0.55,straight,straight,False,False
unassisted-1003,unassisted,6,589,38,360.04,0.64,right,right,False,True
unassisted-1003,unassisted,7,589,38,265.49,0.54,straight,straight,False,True
unassisted-1003,unassisted,8,589,38,284.61,0.48,straight,straight,False,True
unassisted-1003,unassisted,9,590,38,340.92,5.93,straight,straight,False,True
unassisted-1003,unassisted,10,593,38,625.47,0.19,right,right,False,True
unassisted-1003,unassisted,11,595,38,372.48,0.19,straight,straight,False,True
unassisted-1003,unassisted,12,596,38,289.13,0.18,straight,straight,False,True
unassisted-1003,unassisted,13,596,38,311.69,0.21,straight,straight,False,True
unassisted-1003,unassisted,14,596,38,323.9,0.12,straight,straight,False,True
unassisted-1003,unassisted,15,596,38,325.55,0.14,straight,straight,False,True
unassisted-1003,unassisted,16,596,38,336.83,0.14,straight,straight,False,True
unassisted-1003,unassisted,17,596,38,299.93,0.06,straight,straight,False,True
unassisted-1003,unassisted,18,597,38,365.95,0.05,straight,straight,False,True
unassisted-1003,unassisted,19,604,38,328.58,0.18,right,right,False,True
unassisted-1003,unassisted,20,601,38,316.38,0.09,straight,straight,False,True
unassisted-1003,unassisted,21,601,38,299.44,0.14,straight,straight,False,False
unassisted-1003,unassisted,22,601,38,291.46,0.11,right,right,False,True
unassisted-1003,unassisted,23,597,38,326.25,0.07,straight,straight,False,True
unassisted-1003,unassisted,24,596,38,354.89,0.08,straight,straight,False,True
unassisted-1003,unassisted,25,595,38,326.44,0.08,right,right,False,True
unassisted-1003,unassisted,26,601,38,474.44,0.1,left,left,False,True
unassisted-1003,unassisted,27,600,38,284.08,0.11,straight,straight,False,True
unassisted-1003,unassisted,28,600,38,379.93,0.07,straight,straight,False,True
unassisted-1003,unassisted,29,607,38,551.1,4.81,straight,straight,False,False
unassisted-1003,unassisted,30,607,38,548.84,6.71,straight,straight,False,False
unassisted-1003,unassisted,31,607,38,433.22,5.17,straight,straight,False,False
unassisted-1003,unassisted,32,607,38,426.78,8.0,straight,straight,False,False
unassisted-1003,unassisted,33,607,38,347.47,8.04,left,left,False,True
unassisted-1003,unassisted,34,607,38,468.55,3.77,left,left,False,True
unassisted-1003,unassisted,35,607,38,373.9,2.84,straight,straight,False,True
unassisted-1003,unassisted,36,607,38,496.64,7.16,straight,straight,False,True
unassisted-1003,unassisted,37,607,38,346.88,4.22,left,left,False,False
unassisted-1003,unassisted,38,607,38,412.02,13.71,straight,straight,False,False
unassisted-1003,unassisted,39,609,38,310.37,9.86,straight,straight,False,False
unassisted-1003,unassisted,40,612,38,346.07,13.65,straight,straight,False,False
unassisted-1003,unassisted,41,613,38,290.08,9.6,left,left,False,False
unassisted-1003,unassisted,42,614,38,268.66,16.99,straight,straight,False,False
unassisted-1003,unassisted,43,615,38,351.22,20.48,left,left,False,True
unassisted-1003,unassisted,44,615,38,398.71,26.26,straight,straight,False,True
unassisted-1003,unassisted,45,613,38,277.69,15.67,straight,straight,False,True
unassisted-1003,unassisted,46,612,38,341.82,9.34,straight,straight,False,True
unassisted-1003,unassisted,47,611,38,411.27,5.07,straight,straight,False,True
unassisted-1003,unassisted,48,610,38,365.15,1.74,straight,straight,False,True
unassisted-1003,unassisted,49,609,38,285.96,0.99,straight,straight,False,True
unassisted-1003,unassisted,50,608,38,298.22,0.57,straight,straight,False,False
unassisted-1003,unassisted,51,608,38,737.27,3.57,straight,straight,False,False
unassisted-1003,unassisted,52,608,38,407.85,2.53,straight,straight,False,False
unassisted-1003,unassisted,53,608,38,559.93,7.03,left,left,False,True
unassisted-1003,unassisted,54,608,38,345.03,5.68,straight,straight,False,True
unassisted-1003,unassisted,55,608,38,420.97,4.86,left,left,False,True
unassisted-1003,unassisted,56,608,38,563.77,1.43,straight,straight,False,True
unassisted-1003,unassisted,57,608,38,564.81,0.47,straight,straight,False,True
unassisted-1003,unassisted,58,608,38,422.33,0.66,straight,straight,False,False
unassisted-1003,unassisted,59,608,38,418.3,1.46,straight,straight,False,False
unassisted-1003,unassisted,60,608,38,374.79,3.06,straight,straight,False,False
unassisted-1003,unassisted,61,608,38,359.25,4.25,straight,straight,False,False
unassisted-1003,unassisted,62,608,38,439.03,9.15,straight,straight,False,False
unassisted-1003,unassisted,63,609,38,390.04,10.06,straight,straight,False,False
unassisted-1003,unassisted,64,612,38,397.9,13.16,straight,straight,False,False
unassisted-1003,unassisted,65,613,38,435.45,12.66,left,left,False,False
unassisted-1003,unassisted,66,614,38,432.79,32.02,straight,straight,False,False
unassisted-1003,unassisted,67,615,38,447.84,22.1,left,left,False,True
unassisted-1003,unassisted,68,615,38,394.51,21.48,straight,straight,False,True
unassisted-1003,unassisted,69,613,38,459.27,11.66,straight,straight,False,True
unassisted-1003,unassisted,70,612,38,501.84,9.92,straight,straight,False,True
unassisted-1003,unassisted,71,611,38,424.25,4.34,straight,straight,False,True
unassisted-1003,unassisted,72,610,38,360.48,3.62,straight,straight,False,True
unassisted-1003,unassisted,73,609,38,408.41,0.79,straight,straight,False,True
unassisted-1003,unassisted,74,608,38,416.11,0.42,straight,straight,False,False
unassisted-1003,unassisted,75,608,38,491.83,2.36,straight,straight,False,False
unassisted-1003,unassisted,76,608,38,404.75,2.65,straight,straight,False,False
unassisted-1003,unassisted,77,608,38,364.52,6.89,left,left,False,True
unassisted-1003,unassisted,78,608,38,493.51,6.65,straight,straight,False,True
unassisted-1013,unassisted,1,588,38,314.33,0.41,straight,straight,False,False
unassisted-1013,unassisted,2,588,38,312.4,0.47,straight,straight,False,False
unassisted-1013,unassisted,3,588,38,306.47,1.09,straight,straight,False,False
unassisted-1013,unassisted,4,588,38,307.4,0.31,straight,straight,False,False
unassisted-1013,unassisted,5,588,38,277.98,0.49,straight,straight,False,False
unassisted-1013,unassisted,6,588,38,310.25,0.3,right,right,False,True
unassisted-1013,unassisted,7,588,38,281.94,0.12,straight,straight,False,True
unassisted-1013,unassisted,8,588,38,321.56,0.2,straight,straight,False,False
unassisted-1013,unassisted,9,589,38,303.07,0.26,straight,straight,False,False
unassisted-1013,unassisted,10,592,38,268.23,0.35,right,right,False,True
unassisted-1013,unassisted,11,594,38,276.42,0.34,straight,straight,False,True
unassisted-1013,unassisted,12,595,38,360.1,0.24,right,right,False,True
unassisted-1013,unassisted,13,592,38,317.19,0.09,straight,straight,False,True
unassisted-1013,unassisted,14,591,38,334.11,0.17,straight,straight,False,False
unassisted-1013,unassisted,15,590,38,369.02,0.16,straight,straight,False,False
unassisted-1013,unassisted,16,590,38,298.21,0.62,straight,straight,False,False
unassisted-1013,unassisted,17,590,38,350.95,1.77,straight,straight,False,False
unassisted-1013,unassisted,18,590,38,384.9,2.2,straight,straight,False,False
unassisted-1013,unassisted,19,590,38,281.84,1.59,straight,straight,False,False
unassisted-1013,unassisted,20,590,38,304.38,2.31,straight,straight,False,False
unassisted-1013,unassisted,21,590,38,281.35,18.83,straight,straight,False,False
unassisted-1013,unassisted,22,590,38,287.73,1.95,right,right,False,False
unassisted-1013,unassisted,23,590,38,314.92,1.88,straight,straight,False,False
unassisted-1013,unassisted,24,590,38,327.95,4.15,right,right,False,True
unassisted-1013,unassisted,25,590,38,306.99,2.4,right,right,False,True
unassisted-1013,unassisted,26,590,38,318.18,2.57,straight,straight,False,True
unassisted-1013,unassisted,27,590,38,372.52,5.48,straight,straight,False,True
unassisted-1013,unassisted,28,590,38,301.9,2.33,straight,straight,False,True
unassisted-1013,unassisted,29,590,38,317.83,2.6,straight,straight,False,True
unassisted-1013,unassisted,30,590,38,273.51,0.95,straight,straight,False,True
unassisted-1013,unassisted,31,590,38,340.12,1.26,straight,straight,False,True
unassisted-1013,unassisted,32,590,38,458.55,0.37,straight,straight,False,True
unassisted-1013,unassisted,33,591,38,409.87,0.21,straight,straight,False,True
unassisted-1013,unassisted,34,594,38,404.09,0.51,straight,straight,False,False
unassisted-1013,unassisted,35,595,38,385.82,0.15,left,left,False,True
unassisted-1013,unassisted,36,596,38,409.63,0.14,straight,straight,False,True
unassisted-1013,unassisted,37,596,38,407.05,0.19,straight,straight,False,True
unassisted-1013,unassisted,38,596,38,439.12,0.13,straight,straight,False,True
unassisted-1013,unassisted,39,596,38,330.33,0.16,straight,straight,False,True
unassisted-1013,unassisted,40,596,38,311.6,0.09,straight,straight,False,True
unassisted-1013,unassisted,41,596,38,294.87,0.1,straight,straight,False,True
unassisted-1013,unassisted,42,596,38,291.98,0.06,left,left,False,True
