scenario,reverse,source_trial,final_trial,check_correct,final_correct,joint_correct,check_input_tokens,check_output_tokens,final_input_tokens,final_output_tokens,workflow_input_tokens,workflow_output_tokens
1-inspection,False,539,1,True,True,True,399,42,402,32,801,74
11-inspection,True,739,2,True,True,True,401,42,404,32,805,74
4-service,True,1569,3,True,True,True,401,42,404,32,805,74
6-collection,True,663,4,True,True,True,400,42,403,33,803,75
8-service,False,1460,5,True,True,True,399,42,402,32,801,74
3-service,False,1402,6,True,True,True,399,42,402,32,801,74
9-collection,False,1293,7,True,True,True,399,42,402,33,801,75
2-collection,False,1241,8,True,True,True,398,42,401,33,799,75
1-inspection,True,498,9,True,True,True,399,42,402,32,801,74
1-collection,False,1319,10,True,True,True,398,42,401,33,799,75
4-appointment,False,1063,11,True,True,True,415,42,418,33,833,75
10-service,False,1577,12,True,True,True,399,42,402,32,801,74
5-appointment,False,1419,13,True,True,True,413,42,416,33,829,75
6-service,False,548,14,True,True,True,401,42,404,32,805,74
2-collection,False,1082,15,True,True,True,398,42,401,33,799,75
6-inspection,False,678,16,True,True,True,401,42,404,32,805,74
1-appointment,True,497,17,True,True,True,413,42,416,33,829,75
9-service,True,14,18,True,True,True,400,42,403,32,803,74
6-service,True,935,19,True,True,True,401,42,404,32,805,74
5-inspection,True,1354,20,True,True,True,399,42,402,32,801,74
6-service,True,1007,21,True,True,True,401,42,404,32,805,74
11-service,True,306,22,True,True,True,401,42,404,32,805,74
11-inspection,True,571,23,True,True,True,401,42,404,32,805,74
11-inspection,False,1136,24,True,True,True,401,42,404,32,805,74
8-collection,False,1522,25,True,True,True,398,42,401,33,799,75
9-appointment,False,1203,26,True,True,True,414,42,417,33,831,75
2-inspection,False,1455,27,True,True,True,399,42,402,32,801,74
0-collection,False,404,28,True,True,True,398,42,401,33,799,75
0-service,False,785,29,True,True,True,399,42,402,32,801,74
0-service,True,282,30,True,True,True,399,42,402,32,801,74
7-service,False,1045,31,True,True,True,399,42,402,32,801,74
11-collection,False,236,32,True,True,True,400,42,403,33,803,75
4-inspection,True,623,33,True,True,True,401,42,404,32,805,74
6-service,False,20,34,True,True,True,401,42,404,32,805,74
7-collection,True,245,35,True,True,True,398,42,401,33,799,75
2-collection,True,29,36,True,True,True,398,42,401,33,799,75
2-service,False,1543,37,True,True,True,399,42,402,32,801,74
5-service,False,1486,38,True,True,True,399,42,402,32,801,74
8-inspection,True,589,39,True,True,True,399,42,402,32,801,74
3-service,True,68,40,True,True,True,399,42,402,32,801,74
9-appointment,False,1604,41,True,True,True,414,42,417,33,831,75
1-inspection,True,514,42,True,True,True,399,42,402,32,801,74
3-inspection,False,403,43,True,True,True,399,42,402,32,801,74
8-appointment,True,1138,44,True,True,True,413,42,416,33,829,75
11-appointment,True,788,45,True,True,True,415,42,418,33,833,75
9-collection,True,908,46,True,True,True,399,42,402,33,801,75
0-inspection,True,222,47,True,True,True,399,42,402,32,801,74
4-service,False,367,48,True,True,True,401,42,404,32,805,74
6-appointment,False,487,49,True,True,True,415,42,418,33,833,75
10-appointment,True,897,50,True,True,True,413,42,416,33,829,75
6-appointment,True,1261,51,True,True,True,415,42,418,33,833,75
1-appointment,False,132,52,True,True,True,413,42,416,33,829,75
2-inspection,True,1290,53,True,True,True,399,42,402,32,801,74
8-inspection,False,359,54,True,True,True,399,42,402,32,801,74
7-appointment,True,1608,55,True,True,True,413,42,416,33,829,75
3-inspection,True,241,56,True,True,True,399,42,402,32,801,74
9-service,True,750,57,True,True,True,400,42,403,32,803,74
8-appointment,True,1298,58,True,True,True,413,42,416,33,829,75
7-inspection,False,671,59,True,True,True,399,42,402,32,801,74
4-inspection,False,1069,60,True,True,True,401,42,404,32,805,74
10-service,True,1006,61,True,True,True,399,42,402,32,801,74
8-appointment,False,1405,62,True,True,True,413,42,416,33,829,75
7-collection,True,1264,63,True,True,True,398,42,401,33,799,75
0-service,False,1120,64,True,True,True,399,42,402,32,801,74
6-appointment,True,689,65,True,True,True,415,42,418,33,833,75
0-appointment,False,118,66,True,True,True,413,42,416,33,829,75
2-inspection,False,1071,67,True,True,True,399,42,402,32,801,74
0-service,False,124,68,True,True,True,399,42,402,32,801,74
5-appointment,False,622,69,True,True,True,413,42,416,33,829,75
5-appointment,True,1297,70,True,True,True,413,42,416,33,829,75
8-service,True,947,71,True,True,True,399,42,402,32,801,74
6-collection,False,1089,72,True,True,True,400,42,403,33,803,75
7-inspection,True,1134,73,True,True,True,399,42,402,32,801,74
10-appointment,True,725,74,True,True,True,413,42,416,33,829,75
11-appointment,False,10,75,True,True,True,415,42,418,33,833,75
11-appointment,False,33,76,True,True,True,415,42,418,33,833,75
5-service,True,1227,77,True,True,True,399,42,402,32,801,74
11-appointment,False,642,78,True,True,True,415,42,418,33,833,75
1-inspection,True,1367,79,True,True,True,399,42,402,32,801,74
6-service,False,593,80,True,True,True,401,42,404,32,805,74
4-collection,True,334,81,True,True,True,400,42,403,33,803,75
10-service,True,315,82,True,True,True,399,42,402,32,801,74
1-service,False,1406,83,True,True,True,399,42,402,32,801,74
4-inspection,False,838,84,True,True,True,401,42,404,32,805,74
6-inspection,True,952,85,True,True,True,401,42,404,32,805,74
