episode,level,controller,seed,move,action,input_tokens,output_tokens,latency_ms
classic-jev_direct-11,classic,jev_direct,11,1,straight,585,38,404.25
classic-jev_direct-11,classic,jev_direct,11,2,straight,585,38,323.02
classic-jev_direct-11,classic,jev_direct,11,3,straight,585,38,298.65
classic-jev_direct-11,classic,jev_direct,11,4,straight,585,38,261.86
classic-jev_direct-11,classic,jev_direct,11,5,straight,585,38,288.63
classic-jev_direct-11,classic,jev_direct,11,6,straight,585,38,284.98
classic-jev_direct-11,classic,jev_direct,11,7,right,585,38,262.8
classic-jev_direct-11,classic,jev_direct,11,8,straight,585,38,291.71
classic-jev_direct-11,classic,jev_direct,11,9,straight,585,38,340.21
classic-jev_direct-11,classic,jev_direct,11,10,straight,586,38,294.88
classic-jev_direct-11,classic,jev_direct,11,11,right,591,38,404.12
classic-jev_direct-11,classic,jev_direct,11,12,straight,591,38,320.27
classic-jev_direct-11,classic,jev_direct,11,13,straight,592,38,328.68
classic-jev_direct-11,classic,jev_direct,11,14,straight,592,38,287.67
classic-jev_direct-11,classic,jev_direct,11,15,straight,592,38,323.28
classic-jev_direct-11,classic,jev_direct,11,16,straight,592,38,279.66
classic-jev_direct-11,classic,jev_direct,11,17,straight,592,38,308.6
classic-jev_direct-11,classic,jev_direct,11,18,straight,592,38,295.23
classic-jev_direct-11,classic,jev_direct,11,19,straight,592,38,303.05
classic-jev_direct-11,classic,jev_direct,11,20,straight,599,38,350.05
classic-jev_direct-11,classic,jev_direct,11,21,straight,602,38,275.81
classic-jev_direct-11,classic,jev_direct,11,22,left,603,38,317.25
classic-jev_direct-11,classic,jev_direct,11,23,left,605,38,297.3
classic-jev_direct-11,classic,jev_direct,11,24,straight,605,38,305.35
classic-jev_direct-11,classic,jev_direct,11,25,straight,602,38,333.69
classic-jev_direct-11,classic,jev_direct,11,26,straight,601,38,278.07
classic-jev_direct-11,classic,jev_direct,11,27,straight,600,38,454.83
classic-jev_direct-11,classic,jev_direct,11,28,straight,599,38,285.48
classic-jev_direct-11,classic,jev_direct,11,29,straight,599,38,320.18
classic-jev_direct-11,classic,jev_direct,11,30,straight,600,38,287.56
classic-jev_guarded-11,classic,jev_guarded,11,1,straight,585,38,382.07
classic-jev_guarded-11,classic,jev_guarded,11,2,straight,585,38,285.9
classic-jev_guarded-11,classic,jev_guarded,11,3,straight,585,38,305.59
classic-jev_guarded-11,classic,jev_guarded,11,4,straight,585,38,310.23
classic-jev_guarded-11,classic,jev_guarded,11,5,straight,585,38,290.73
classic-jev_guarded-11,classic,jev_guarded,11,6,straight,585,38,313.12
classic-jev_guarded-11,classic,jev_guarded,11,7,right,557,31,278.67
classic-jev_guarded-11,classic,jev_guarded,11,8,straight,557,31,278.26
classic-jev_guarded-11,classic,jev_guarded,11,9,straight,557,31,278.25
classic-jev_guarded-11,classic,jev_guarded,11,10,straight,558,31,290.21
classic-jev_guarded-11,classic,jev_guarded,11,11,right,562,31,308.17
classic-jev_guarded-11,classic,jev_guarded,11,12,straight,591,38,352.71
classic-jev_guarded-11,classic,jev_guarded,11,13,straight,592,38,300.31
classic-jev_guarded-11,classic,jev_guarded,11,14,straight,592,38,325.78
classic-jev_guarded-11,classic,jev_guarded,11,15,straight,592,38,335.45
classic-jev_guarded-11,classic,jev_guarded,11,16,straight,592,38,347.93
classic-jev_guarded-11,classic,jev_guarded,11,17,straight,592,38,281.21
classic-jev_guarded-11,classic,jev_guarded,11,18,straight,592,38,293.92
classic-jev_guarded-11,classic,jev_guarded,11,19,straight,592,38,342.73
classic-jev_guarded-11,classic,jev_guarded,11,20,straight,599,38,310.53
classic-jev_guarded-11,classic,jev_guarded,11,21,straight,602,38,292.82
classic-jev_guarded-11,classic,jev_guarded,11,22,left,573,31,286.76
classic-jev_guarded-11,classic,jev_guarded,11,24,straight,575,31,383.99
classic-jev_guarded-11,classic,jev_guarded,11,25,straight,573,31,356.47
classic-jev_guarded-11,classic,jev_guarded,11,26,straight,572,31,351.21
classic-jev_guarded-11,classic,jev_guarded,11,27,straight,571,31,279.68
classic-jev_guarded-11,classic,jev_guarded,11,28,straight,570,31,359.72
classic-jev_guarded-11,classic,jev_guarded,11,29,straight,570,31,307.74
classic-jev_guarded-11,classic,jev_guarded,11,30,straight,571,31,265.55
